#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      277.0   237.9    86.8   170.7   189.7   263.9   292.3   309.2   320.4   335.9   355.2   388.6   481.2  2178.1 13198.3   4906.4     5000  1684931644740  1684931650125
read      310.7   228.2    86.8   146.9   171.5   296.5   348.8   376.1   395.3   417.1   443.4   484.7   586.6  2288.7  9748.7   9983.6    10000  1684931651630  1684931656973
read      330.5   233.7    80.4   137.4   161.1   312.2   384.2   420.1   443.8   469.8   501.7   547.4   656.0  2559.1  8329.9  14828.4    15000  1684931658476  1684931663771
read      337.1   210.0    74.4   131.7   154.0   314.2   393.4   436.3   464.7   496.5   533.9   586.9   698.6  1608.1  7545.3  19880.0    20000  1684931665275  1684931670578
read      357.9   243.3    74.4   133.8   157.8   333.7   416.0   462.5   495.3   531.4   573.5   632.9   772.2  1799.9  9709.2  24864.0    25000  1684931672082  1684931677381
read      366.8   255.0    74.4   136.5   160.4   339.6   426.3   473.8   508.3   546.0   589.9   654.9   794.9  3015.6  7943.9  29885.4    30000  1684931678885  1684931684180
read      361.7   243.0    80.4   133.9   157.4   334.2   423.0   470.6   504.3   542.4   588.6   656.9   797.7  1391.7 10352.1  35033.6    35000  1684931685683  1684931690968
read      385.7   293.1    80.4   135.6   164.1   355.7   447.6   499.8   536.1   578.7   630.9   704.8   861.8  1233.8 12732.1  39920.8    40000  1684931692472  1684931697761
read      371.2   246.7    74.4   133.4   158.4   344.0   435.4   484.6   518.7   556.5   603.1   671.8   806.6  1148.5  9685.8  44937.6    45000  1684931699264  1684931704538
read      383.8   269.5    80.4   133.6   160.1   354.5   447.4   500.1   536.4   577.1   625.4   691.9   840.0  1414.8 10461.6  49965.1    50000  1684931706042  1684931711321
read      385.0   285.2    74.4   133.6   160.5   355.8   444.6   498.2   536.3   579.7   631.3   704.6   855.6  1277.5 10605.6  55103.6    55000  1684931712824  1684931718095
read      370.8   262.5    74.4   130.2   154.4   339.4   430.5   483.8   521.8   563.5   613.4   683.8   835.9  1306.5  9150.2  59859.2    60000  1684931719599  1684931724880
read      364.2   244.4    74.4   129.7   153.2   332.0   415.8   467.4   507.6   554.1   609.7   687.2   844.4  1440.9  7912.4  65041.2    65000  1684931726383  1684931731662
read      370.4   234.7    68.9   132.0   156.0   340.8   422.9   472.3   512.6   560.2   620.1   705.4   867.6  1142.1  8100.9  70030.4    70000  1684931733165  1684931738442
read      381.2   252.1    74.4   133.6   161.0   349.5   428.0   479.2   522.5   575.7   641.4   730.7   892.0  1215.7  9403.4  74819.8    75000  1684931739945  1684931745232
read      373.3   260.4    74.4   134.6   160.1   340.8   418.5   468.2   511.7   563.4   628.2   715.1   864.6  1339.0 10069.6  79931.8    80000  1684931746737  1684931752012
read      374.9   277.7    74.4   137.3   163.9   344.4   422.1   470.3   509.8   560.5   622.7   708.3   859.4  1215.1 10864.5  85018.0    85000  1684931753516  1684931758797
read      371.1   232.9    74.4   135.8   164.2   341.5   418.1   466.3   505.2   554.2   617.6   702.0   855.0  1110.7  8383.5  89748.0    90000  1684931760301  1684931765574
read      377.7   246.0    74.4   145.8   174.2   345.2   422.4   471.5   511.7   561.0   620.5   703.6   863.2  1256.0  9845.4  95026.4    95000  1684931767078  1684931772366
read      637.4   370.4    74.4   397.2   445.3   568.9   613.4   641.2   691.6   906.9  1034.8  1130.0  1253.9  2837.8 15194.8  98491.6   100000  1684931773869  1684931779154
read      649.3   326.1    74.4   443.4   472.7   568.7   610.4   638.9   702.6   948.1  1048.1  1135.7  1266.2  3046.6 12631.9  99869.2   105000  1684931780658  1684931785939
read      650.6   336.9    80.4   445.5   474.9   572.1   614.6   641.1   692.4   946.9  1048.4  1137.3  1260.7  3085.1 13470.4 100485.9   110000  1684931787442  1684931792723
read      658.2   372.7    86.8   447.6   478.0   577.1   620.0   649.0   709.7   961.3  1059.4  1147.0  1269.6  2322.5 16321.1  99452.8   115000  1684931794227  1684931799503
read      668.0   362.5    86.8   462.2   488.8   586.8   629.0   662.2   701.8   963.4  1073.8  1161.6  1277.4  2900.3 15664.4  98118.0   120000  1684931801006  1684931806284
read      678.1   344.4    68.9   472.7   498.5   596.8   636.3   672.0   718.0   987.6  1095.6  1178.3  1290.8  2252.2 15136.8  96451.2   125000  1684931807787  1684931813071
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 70.61%,2.02%,100.00%
