#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      303.9   308.5    86.8   165.2   187.2   285.8   320.9   341.3   355.6   371.1   392.9   426.7   528.9  5865.7 12208.3   4958.2     5000  1684931880816  1684931886169
read      318.4   297.4    80.4   146.1   167.2   305.0   361.6   388.3   405.2   426.2   451.5   490.1   584.7  3819.2 12947.3   9938.9    10000  1684931887673  1684931893003
read      332.3   216.0    80.4   138.0   160.5   316.8   389.7   424.7   448.0   472.5   504.4   548.8   661.3  2043.3  8736.9  14984.2    15000  1684931894507  1684931899801
read      342.9   231.2    74.4   133.7   156.9   321.2   402.5   444.1   471.6   503.1   539.7   591.6   703.9  2621.7  9031.0  19892.2    20000  1684931901304  1684931906604
read      349.6   212.9    80.4   133.0   155.2   325.2   407.4   452.7   483.8   519.1   559.3   619.7   744.4  1822.8  9135.8  25052.0    25000  1684931908107  1684931913404
read      356.9   228.3    80.4   135.3   156.7   331.6   415.8   463.1   497.1   534.9   579.8   640.2   772.5  1176.9  9260.5  29975.3    30000  1684931914908  1684931920189
read      367.3   305.7    80.4   137.8   159.7   338.7   426.1   474.6   510.9   550.3   597.5   663.4   795.0  1483.3 11771.0  34849.2    35000  1684931921693  1684931927046
read      380.8   219.9    80.4   138.4   165.4   359.3   446.8   494.6   529.3   568.4   615.0   679.0   808.2  1107.4  6847.0  40027.2    40000  1684931928551  1684931933836
read      370.9   214.0    74.4   135.8   160.8   347.4   433.8   482.2   516.7   554.9   602.0   666.1   797.1  1022.2  8024.8  45033.6    45000  1684931935339  1684931940608
read      378.7   242.1    80.4   136.4   161.5   349.7   439.1   490.9   527.3   568.4   618.7   688.5   837.9  1242.7  9103.5  49981.8    50000  1684931942112  1684931947390
read      380.7   230.1    74.4   135.6   160.5   351.9   440.3   493.8   532.6   576.1   627.7   700.7   849.2  1421.0  6844.2  55105.6    55000  1684931948894  1684931954172
read      375.4   258.6    74.4   134.4   158.0   343.9   430.6   484.6   525.0   570.3   624.8   700.6   852.9  1239.4 10526.4  60000.8    60000  1684931955677  1684931960955
read      362.3   247.7    74.4   131.7   154.4   329.6   413.5   466.7   507.6   552.2   605.3   678.8   821.2  1256.3  8768.9  64920.0    65000  1684931962459  1684931967734
read      362.5   230.9    74.4   132.2   154.8   332.0   411.5   463.2   504.6   552.9   612.2   687.6   830.1  1187.8  7742.4  69897.8    70000  1684931969239  1684931974521
read      366.1   233.6    74.4   134.0   157.9   335.8   410.9   460.3   503.0   554.7   620.1   707.0   850.8  1116.7  8017.4  74848.6    75000  1684931976026  1684931981319
read      370.9   239.6    74.4   137.7   162.9   340.2   416.5   464.9   505.5   556.7   620.9   705.4   849.4  1166.7  9061.6  79969.4    80000  1684931982822  1684931988100
read      358.5   233.3    74.4   135.8   159.5   326.6   400.1   451.7   493.6   544.2   605.4   682.3   816.5  1076.4  8972.2  84756.2    85000  1684931989603  1684931994881
read      352.2   206.2    74.4   133.4   157.3   320.2   393.3   444.0   486.6   537.4   596.0   674.7   803.3  1007.2  6834.4  89889.4    90000  1684931996385  1684932001661
read      351.3   217.3    74.4   135.1   159.4   319.6   394.3   443.3   483.0   531.4   587.2   662.7   796.3  1030.5  8443.2  94923.6    95000  1684932003165  1684932008446
read      375.8   244.3    68.9   144.8   173.8   341.7   423.1   473.0   510.5   553.6   611.1   700.8   909.9  1163.8  8860.9 100193.8   100000  1684932009949  1684932015227
read      545.0   297.9    74.4   251.8   316.6   497.7   547.9   590.1   645.8   789.0   906.9  1001.8  1138.5  1450.6 11766.3 104351.8   105000  1684932016731  1684932022010
read      586.8   303.4    86.8   388.5   413.1   502.7   549.5   615.7   794.1   877.6   932.5  1001.1  1125.3  1826.8 11240.7 107731.6   110000  1684932023514  1684932028798
read      652.5   353.1    86.8   448.8   476.5   563.9   605.1   640.3   759.7   980.3  1052.0  1118.9  1241.1  3391.0 12867.7 100311.9   115000  1684932030301  1684932035584
read      606.0   308.6    74.4   417.6   442.5   521.5   556.9   593.1   788.7   920.4   979.8  1039.8  1142.0  2071.3 13014.6 107601.2   120000  1684932037088  1684932042367
read      603.4   309.9    74.4   412.9   438.4   516.7   557.4   603.8   814.1   912.2   970.7  1028.7  1146.2  1954.7 12656.8 108121.4   125000  1684932043870  1684932049185
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 71.36%,2.51%,100.00%
