#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      945.6  1119.2   148.8   242.5   275.0   497.9   827.3   907.4   973.9  1784.7  3026.7  3307.9  3726.4 11743.6 23923.1  29929.8    30000
read      874.5  1036.5   160.7   242.5   275.0   489.2   795.9   884.8   949.9  1065.7  2647.0  3099.1  3634.8 10669.4 24873.8  34870.8    35000
read      823.2   968.1   160.7   240.5   270.7   470.8   764.8   860.7   930.8  1043.9  2378.5  2964.2  3461.3  9666.9 24287.6  40006.4    40000
read      803.0  1010.8   148.8   245.7   277.8   468.4   691.1   837.4   913.8  1016.8  2017.3  2751.5  4573.9  9761.7 30934.1  45081.6    45000
read      920.8  1367.7   160.7   266.4   304.9   513.5   670.5   817.5   902.9  1011.0  2020.6  4198.6  5424.9 12431.6 32329.5  49861.0    50000
read     1324.2  2003.0   173.5   390.1   428.8   593.4   863.7   958.7  1020.3  2180.0  4542.8  5030.8  7756.1 29107.9 37592.6  51295.2    55000
read     1330.9  1983.1   173.5   382.2   423.9   605.4   845.0   983.4  1067.5  2403.9  4540.3  4966.8  7699.6 28112.9 38003.7  51288.4    60000
read     1357.7  1983.6   173.5   411.0   445.0   601.0   892.4   997.8  1068.0  2694.5  4568.0  5022.5  7809.3 28388.8 36396.7  50350.4    65000
read     1426.5  2058.2   173.5   422.0   462.3   636.7   947.6  1062.0  1148.8  3793.4  4620.9  5090.7  7847.3 30145.6 37024.6  48114.8    70000
read     1368.9  2019.4   187.4   406.3   445.7   604.9   900.0  1016.8  1086.9  3366.3  4584.7  5051.2  7849.1 28748.6 37402.8  50047.8    75000
read     1343.0  1958.2   187.4   401.6   439.5   592.4   879.9   996.6  1070.3  2907.0  4571.4  5006.1  7680.9 25900.8 37070.0  50825.2    80000
read     1374.1  2025.5   187.4   416.7   450.2   607.3   916.2  1014.7  1082.2  3529.8  4590.6  5036.3  7706.4 30118.7 37552.5  49744.0    85000
read     1362.3  2059.9   173.5   391.5   429.4   627.9   866.8   992.2  1079.3  2450.6  4558.5  5042.2  7835.5 30476.3 38699.5  50431.4    90000
read     1371.0  2007.6   187.4   400.6   440.1   620.9   882.6  1023.9  1103.4  3554.5  4569.5  5025.2  7751.1 28782.6 37485.0  49884.6    95000
read     1377.9  2079.1   173.5   385.8   425.1   638.7   867.9   995.8  1095.9  2987.2  4560.3  5064.6  7776.7 30116.0 37937.8  49986.4   100000
read     1353.0  2073.0   173.5   383.3   424.0   606.0   869.7   983.3  1064.2  2358.2  4553.6  5039.9  7857.0 30545.9 36654.1  50851.1   105000
read     1322.5  1961.0   160.7   358.4   408.2   600.1   842.5   976.1  1059.1  2369.7  4525.3  4998.4  7698.6 27895.8 37095.8  51534.9   110000
