#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      441.6   262.7   160.7   213.5   233.2   401.2   485.1   534.5   576.0   637.6   711.9   798.5   958.9  2367.1  9870.2  30048.8    30000
read      441.3   275.2   160.7   216.0   235.5   398.1   482.9   532.9   573.3   633.5   709.3   800.6   956.2  2189.0 10328.7  35076.6    35000
read      445.5   291.1   160.7   211.5   230.8   407.2   492.4   541.7   582.6   638.7   707.9   799.9   994.7  2713.2  9944.1  40066.6    40000
read      443.2   291.1   148.8   210.4   229.9   409.6   495.2   541.7   579.6   630.9   695.7   791.6   965.4  2077.7 10944.0  44945.6    45000
read      427.5   280.5   148.8   208.3   225.8   383.4   468.2   519.7   559.4   614.8   686.4   791.9   983.1  2106.8 11811.6  49998.4    50000
read      418.5   232.3   148.8   205.7   223.2   380.5   463.2   510.3   546.9   598.5   671.6   772.8   944.5  1375.4  8258.3  54902.4    55000
read      395.7   244.0   148.8   202.3   217.2   353.2   427.2   474.6   512.3   559.5   633.4   743.2   913.5  1676.6 10340.8  59858.6    60000
read      394.1   207.1   148.8   202.9   218.6   358.5   432.6   477.1   511.3   553.7   618.1   721.6   900.1  1418.7  6188.4  65093.4    65000
read      409.0   239.4   148.8   205.6   222.9   374.8   453.0   497.3   530.6   573.5   634.0   732.2   916.9  1354.7 10584.3  69921.8    70000
read      385.3   195.8   148.8   201.7   217.3   352.0   421.8   464.8   498.1   538.2   595.5   688.4   866.7  1244.4  6601.5  74913.6    75000
read      404.6   274.1   148.8   206.0   224.0   372.1   446.0   488.8   520.6   559.6   617.0   706.0   877.5  1510.4 10360.0  79913.0    80000
read      407.9   205.0   148.8   212.2   231.9   382.8   454.1   494.4   524.2   561.2   614.1   688.6   836.4  1171.0  8004.3  84919.4    85000
read      415.0   212.5   148.8   214.6   236.1   387.2   456.2   497.3   528.9   569.8   626.5   710.7   871.4  1135.0  7877.3  90162.2    90000
read      422.8   245.3   148.8   218.1   241.0   390.4   457.9   500.6   535.2   581.3   640.6   730.6   911.8  1400.1 10352.9  95075.4    95000
read      664.6   351.8   160.7   381.5   420.0   574.8   734.5   841.5   901.3   961.0  1020.9  1090.0  1196.6  1696.8 15162.7  95406.4   100000
read      668.3   345.8   160.7   390.8   430.6   572.6   720.7   845.4   919.4   981.0  1037.7  1094.6  1187.5  1882.8 12009.3  96635.8   105000
read      679.7   337.0   148.8   415.2   453.3   574.1   678.6   882.3   957.3  1011.8  1060.9  1117.8  1217.9  2463.8 12637.3  95898.4   110000
