#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      313.7   249.3   101.3   175.2   195.9   291.2   333.8   357.4   374.7   397.8   427.9   470.7   618.2  4082.0  8973.9   4955.4     5000  1684968356305  1684968361662
read      367.2   309.1    93.8   158.7   181.2   333.7   412.2   455.3   484.9   519.3   565.0   632.3   789.2  3935.6 12867.0  10102.0    10000  1684968363165  1684968368494
read      392.9   262.0    93.8   153.3   173.4   348.4   449.5   509.0   550.4   597.8   652.9   737.3   924.8  2617.3  9556.0  14849.0    15000  1684968369997  1684968375293
read      427.3   329.4    93.8   150.0   169.5   351.3   481.1   570.5   636.2   706.6   787.8   906.9  1135.6  1963.4 11955.7  20038.2    20000  1684968376796  1684968382080
read      441.0   350.3    86.8   148.8   169.3   347.9   488.7   590.0   667.1   747.6   846.4   989.4  1215.6  2206.4 12325.4  24936.6    25000  1684968383583  1684968388891
read      428.8   314.6    93.8   144.9   164.3   319.5   466.7   585.8   669.7   754.9   853.8   999.0  1240.0  1600.8  8817.9  29921.6    30000  1684968390395  1684968395687
read      451.4   374.2    86.8   145.0   165.1   319.1   451.4   576.4   695.6   821.9   973.7  1148.0  1446.7  2479.0  9140.1  35015.4    35000  1684968397190  1684968402477
read      441.8   389.2    93.8   141.1   158.7   302.8   422.7   535.5   659.2   820.0   994.6  1189.6  1515.0  2725.9  9871.4  40020.0    40000  1684968403980  1684968409267
read      444.7   426.0    86.8   141.3   159.2   296.0   400.3   504.2   631.3   834.9  1057.9  1277.0  1605.6  2257.8  9313.5  45023.8    45000  1684968410771  1684968416066
read      428.7   399.3    86.8   140.6   157.5   283.4   379.9   473.9   593.3   782.5  1021.8  1258.0  1613.0  2129.5  9420.3  50081.8    50000  1684968417570  1684968422865
read      415.8   409.3    86.8   137.6   153.4   270.1   355.2   444.8   546.5   737.8   996.0  1276.5  1666.6  2518.1 10670.7  54908.0    55000  1684968424368  1684968429652
read      414.0   408.2    86.8   136.5   152.8   272.3   362.7   440.2   519.4   675.2   963.5  1307.8  1787.6  2366.6  8483.1  59774.0    60000  1684968431155  1684968436450
read      406.6   403.7    74.4   139.1   155.4   266.3   352.0   432.3   513.1   661.4   912.8  1272.4  1784.9  2364.3  9917.7  65011.2    65000  1684968437954  1684968443228
read      417.4   426.0    80.4   139.2   156.1   272.6   350.5   416.8   485.3   627.9   953.6  1378.8  1979.9  2643.2  8701.4  69909.4    70000  1684968444732  1684968450007
read      406.5   447.9    86.8   139.0   155.4   263.5   336.1   400.5   467.4   605.3   915.7  1340.6  1976.9  2611.5 11306.8  74945.4    75000  1684968451509  1684968456782
read      407.1   432.0    86.8   138.4   155.0   262.8   332.2   395.8   461.8   593.1   930.7  1371.2  1985.4  2764.3  8147.4  79823.0    80000  1684968458285  1684968463566
read      479.2   576.5    86.8   142.3   161.9   295.7   389.5   466.0   543.4   702.1  1070.8  1768.2  2413.4  4092.7 14242.9  84947.0    85000  1684968465069  1684968470345
read      760.3  1019.4    86.8   209.7   233.4   419.4   577.4  1309.3  1463.0  1579.6  1699.2  1861.3  2748.4 12153.8 32154.7  85497.0    90000  1684968471849  1684968477123
read      798.3  1083.2    93.8   223.6   246.9   449.6   627.9  1373.4  1500.7  1624.0  1729.5  1885.0  2795.2 13530.2 31831.9  82784.0    95000  1684968478627  1684968483903
read      765.3  1033.3    74.4   213.6   236.4   428.4   582.2  1317.5  1462.6  1583.3  1702.8  1864.3  2783.9 12758.0 31988.4  86238.9   100000  1684968485406  1684968490690
read      765.5  1065.5    74.4   213.2   235.4   428.4   583.7  1309.9  1460.6  1582.4  1699.1  1857.6  2740.1 12626.8 32002.5  86548.4   105000  1684968492197  1684968497478
read      803.3  1065.3    93.8   226.4   249.9   453.7   637.5  1367.9  1500.4  1621.2  1732.7  1894.2  2788.2 12786.6 31709.9  82532.7   110000  1684968498981  1684968504276
read      755.0  1059.1    86.8   208.0   231.0   417.1   568.1  1311.4  1459.1  1575.4  1689.1  1841.0  2703.3 14633.0 31888.2  87871.5   115000  1684968505778  1684968511065
read      771.5  1121.9    86.8   215.3   236.9   432.0   583.2  1318.9  1467.2  1588.0  1702.7  1854.5  2721.1 16783.9 32067.5  86230.0   120000  1684968512568  1684968517845
read      782.4  1140.8    86.8   218.8   239.9   436.5   589.1  1329.8  1478.7  1594.3  1711.0  1871.9  2775.1 12889.1 32435.5  85074.2   125000  1684968519348  1684968524626
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 68.81%,0.00%,100.00%
