#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      367.8   393.3    93.8   182.6   219.2   343.8   388.2   412.2   430.7   453.2   481.8   532.5   672.4  7621.0 13704.5   4947.0     5000  1684946459679  1684946465055
read      406.9   295.9    86.8   161.3   192.9   383.2   455.7   494.7   523.8   559.4   604.6   692.6   900.0  4014.8 11055.8  10127.4    10000  1684946466562  1684946471898
read      444.7   377.5    86.8   149.2   173.8   389.7   496.3   564.0   615.4   695.3   804.9   905.1  1093.2  3810.6 15431.7  14957.8    15000  1684946473401  1684946478702
read      456.6   354.6    80.4   145.0   167.8   387.6   508.4   586.1   647.5   757.9   864.6   993.6  1216.1  4086.9 12917.2  19983.4    20000  1684946480206  1684946485496
read      487.1   413.8    80.4   141.7   164.4   364.7   505.1   618.7   761.2   910.8  1042.5  1193.3  1451.4  2710.1 12299.9  24875.4    25000  1684946486999  1684946492303
read      458.7   353.6    80.4   140.5   161.1   340.2   488.4   598.5   702.6   845.2   975.4  1131.5  1376.3  1745.7  8620.7  30083.8    30000  1684946493806  1684946499096
read      457.9   413.4    74.4   137.7   157.6   319.2   453.3   570.6   697.5   871.3  1027.7  1201.7  1473.0  2650.0 10391.9  34984.2    35000  1684946500598  1684946505880
read      468.5   446.1    74.4   137.8   157.7   317.0   433.1   546.9   685.1   908.9  1102.7  1314.0  1628.9  2335.9 12545.6  40192.0    40000  1684946507383  1684946512663
read      442.5   420.4    80.4   134.6   152.7   294.5   402.7   504.7   618.2   838.7  1054.8  1278.0  1631.1  2172.0 11055.4  44911.2    45000  1684946514166  1684946519463
read      440.0   442.9    80.4   134.8   152.9   287.2   384.9   476.3   584.6   818.1  1063.5  1337.9  1746.2  2441.2 12100.8  49926.0    50000  1684946520966  1684946526256
read      425.1   425.0    74.4   132.3   150.3   276.6   367.5   448.4   540.4   736.8  1018.3  1335.9  1792.4  2379.7 10744.2  55230.8    55000  1684946527760  1684946533051
read      442.3   465.7    74.4   136.4   155.1   293.8   389.4   466.1   547.6   708.8  1007.3  1385.9  1985.5  3067.0 13169.5  60035.0    60000  1684946534555  1684946539838
read      427.5   437.7    74.4   133.0   151.8   286.3   376.6   449.6   520.6   658.1   974.3  1352.3  1942.6  3209.8 12085.5  64943.0    65000  1684946541342  1684946546619
read      420.4   431.0    74.4   132.8   150.9   275.3   359.3   425.6   493.1   631.6   988.1  1394.1  1978.4  2722.1  8772.2  70111.3    70000  1684946548122  1684946553406
read      431.1   478.2    74.4   134.3   153.1   280.1   360.8   422.8   485.2   612.9   987.7  1477.5  2122.9  3827.9 10229.6  74678.8    75000  1684946554910  1684946560174
read      432.8   469.8    74.4   137.7   156.1   278.3   358.8   424.5   496.6   658.2  1002.7  1462.1  2089.4  3182.7 10092.9  79795.4    80000  1684946561677  1684946566955
read      543.6   803.6    74.4   148.6   172.9   323.3   429.0   520.4   627.0   872.0  1230.0  1825.8  2691.1  9483.2 30734.6  84911.2    85000  1684946568459  1684946573739
read      670.2   971.0    80.4   176.9   203.2   366.7   501.3   720.3  1288.5  1460.9  1603.9  1780.9  2655.8 12557.5 31862.0  89241.4    90000  1684946575243  1684946580519
read      769.2  1066.3    80.4   211.0   235.4   426.5   593.0  1310.7  1460.8  1580.5  1699.8  1862.0  2726.8 15965.8 31497.7  86018.8    95000  1684946582023  1684946587304
read      750.4  1055.5    74.4   204.2   227.0   409.8   566.9  1301.1  1451.3  1568.3  1684.6  1849.0  2685.9 12789.7 32397.1  88225.0   100000  1684946588809  1684946594101
read      790.7  1056.0    74.4   212.0   238.6   433.3   631.1  1346.3  1492.7  1602.8  1723.7  1901.7  2736.4 12728.3 31877.0  83995.4   105000  1684946595604  1684946600891
read      766.4  1135.7    93.8   210.1   233.2   417.6   573.7  1285.6  1448.0  1577.5  1699.7  1862.3  2837.6 14079.6 33705.7  86734.3   110000  1684946602394  1684946607678
read      803.6  1214.6    80.4   219.4   242.9   437.8   615.8  1321.7  1481.1  1602.0  1723.3  1895.4  2847.5 16471.7 35326.9  83000.0   115000  1684946609183  1684946614468
read      771.1  1052.0    80.4   213.9   236.6   423.0   593.6  1333.5  1477.2  1592.2  1706.1  1861.6  2749.2 14604.5 31765.4  86238.0   120000  1684946615971  1684946621266
read      754.0  1100.0    86.8   204.8   227.2   415.6   566.3  1299.2  1451.5  1571.0  1685.3  1838.0  2719.7 16710.9 32461.3  88247.2   125000  1684946622768  1684946628041
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 72.50%,6.06%,100.00%
