#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      411.7   221.1   160.7   214.3   233.0   382.4   456.4   502.1   535.9   576.0   624.8   691.8   828.6  1864.4  7796.5  29955.8    30000
read      419.4   187.7   160.7   215.5   235.4   396.2   468.4   511.0   544.2   585.4   636.8   709.7   845.6  1147.7  5913.3  35123.2    35000
read      430.6   224.7   160.7   218.8   239.7   410.8   482.9   524.5   556.1   595.5   647.3   724.6   860.0  1150.7  7835.4  40030.2    40000
read      413.4   212.7   160.7   209.4   227.3   384.7   458.9   502.5   537.2   580.7   639.5   728.4   869.0  1520.1  7668.2  45186.8    45000
read      413.6   245.7   160.7   206.2   223.5   389.2   463.6   504.9   537.5   578.6   633.7   717.1   860.5  1542.2  9033.8  49921.9    50000
read      392.3   236.3   148.8   202.6   217.8   364.1   433.5   472.2   504.4   545.3   602.4   687.3   817.0  2059.0  8653.7  54838.5    55000
read      401.7   288.1   160.7   203.6   219.3   371.8   444.5   485.2   516.9   557.8   615.4   699.0   853.6  2626.6 12711.5  59844.0    60000
read      391.8   205.0   160.7   203.5   219.4   364.3   436.4   475.4   505.2   543.3   595.5   684.4   842.8  1300.8  7322.5  65063.6    65000
read      392.5   186.0   160.7   205.0   221.7   368.6   441.0   479.8   507.9   543.3   590.8   672.5   824.5  1164.6  6697.2  69779.4    70000
read      385.8   220.3   148.8   205.5   221.7   360.4   428.2   465.8   494.3   528.5   574.5   646.5   798.1  1589.2  9072.5  75184.8    75000
read      388.8   201.3   148.8   208.4   225.9   363.4   430.4   468.1   497.0   531.5   577.6   654.5   808.1  1163.3  6854.2  80228.8    80000
read      390.5   221.7   160.7   209.0   226.8   363.9   428.5   465.2   493.3   527.4   574.4   653.9   824.0  1955.3  8380.0  85040.8    85000
read      473.6   265.2   160.7   243.6   275.1   445.0   519.4   563.7   597.7   640.9   699.3   787.7   959.6  1425.2 10553.8  89531.4    90000
read      679.5   356.2   160.7   402.4   438.4   572.4   793.9   891.7   937.6   978.9  1019.8  1078.8  1177.5  3070.3 13749.1  92709.5    95000
read      542.2   329.9   160.7   244.8   283.9   488.2   557.1   628.2   728.6   839.1   929.4  1009.2  1131.9  1362.5 10367.1  97826.2   100000
read      724.9   336.5   160.7   458.7   486.5   602.9   759.1   968.2  1026.8  1067.7  1111.9  1169.4  1270.8  2024.7 12743.9  89954.2   105000
read      685.0   350.4   160.7   424.1   456.5   575.5   722.0   893.7   958.9  1006.6  1054.9  1107.0  1209.8  2525.8 15663.7  95135.2   110000
