#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      267.7   212.9    86.8   157.5   176.6   255.3   286.4   302.9   314.9   329.8   348.5   378.5   457.7  3883.5  9688.7   4972.0     5000  1684933026186  1684933031550
read      304.9   309.2    74.4   138.7   162.4   288.0   341.0   369.4   389.0   410.1   434.9   471.0   553.5  3489.4 12723.7  10008.6    10000  1684933033055  1684933038390
read      319.4   212.2    74.4   126.8   148.7   301.3   369.6   408.6   435.1   462.7   496.3   543.2   643.1  2379.6  7485.0  14917.8    15000  1684933039894  1684933045194
read      325.0   233.3    74.4   120.9   138.4   299.4   381.4   430.0   461.7   497.5   539.4   599.8   729.2  1165.6  9502.6  19928.2    20000  1684933046697  1684933051983
read      345.0   257.8    68.9   119.1   136.0   300.0   405.9   473.1   517.1   562.6   616.6   693.5   851.9  1167.4  9930.7  24848.6    25000  1684933053487  1684933058776
read      359.3   300.5    74.4   119.6   135.9   276.7   403.5   492.3   554.8   616.3   689.2   805.3   997.6  3039.1  8786.8  30096.6    30000  1684933060280  1684933065578
read      358.3   292.4    74.4   117.9   133.6   252.2   374.4   476.5   570.6   655.0   750.2   882.7  1081.9  1807.7  8031.2  35016.0    35000  1684933067082  1684933072367
read      370.4   317.7    68.9   121.2   138.4   255.9   367.2   467.2   573.5   686.8   813.8   957.4  1172.1  1689.5  8697.9  39985.8    40000  1684933073870  1684933079158
read      373.5   333.6    74.4   119.2   136.3   251.4   350.4   447.5   560.3   695.1   857.1  1030.5  1275.2  1727.1  9316.3  45024.6    45000  1684933080662  1684933085957
read      374.5   361.6    74.4   117.5   134.2   245.7   318.3   398.7   500.8   724.1   941.8  1123.5  1367.3  1678.6  9649.8  49942.6    50000  1684933087461  1684933092739
read      369.9   397.7    68.9   116.4   131.8   235.4   303.6   376.5   464.8   697.1   949.5  1149.4  1441.9  2038.2 10653.8  55159.4    55000  1684933094242  1684933099517
read      358.4   348.0    63.8   113.9   128.6   227.1   293.9   364.7   442.4   650.8   931.7  1149.4  1458.3  2010.5  6467.0  59953.8    60000  1684933101020  1684933106306
read      357.9   381.7    68.9   113.2   128.0   225.1   286.8   342.6   404.5   581.1   937.4  1217.9  1580.8  2213.8  9802.7  65114.0    65000  1684933107809  1684933113098
read      353.8   403.7    68.9   113.2   127.6   221.0   280.5   334.8   394.0   530.0   911.5  1241.1  1632.7  2150.3 10881.8  70067.6    70000  1684933114602  1684933119891
read      352.8   419.7    63.8   112.7   127.2   219.0   274.9   319.9   370.1   471.7   874.0  1297.6  1787.7  2515.7 12104.2  75146.4    75000  1684933121396  1684933126678
read      345.2   415.8    68.9   111.6   125.3   213.4   265.2   303.9   345.9   432.8   833.8  1323.1  1823.2  2524.7  9211.6  80018.6    80000  1684933128181  1684933133458
read      340.2   429.9    68.9   110.8   124.2   209.1   257.4   293.7   332.6   405.3   789.5  1332.8  1875.8  2653.2 12194.1  85122.4    85000  1684933134961  1684933140242
read      347.7   434.6    63.8   112.6   127.3   214.8   265.1   302.1   341.1   415.8   777.1  1360.7  1981.6  2964.3 12540.0  90071.8    90000  1684933141746  1684933147049
read      345.8   464.4    68.9   111.6   125.0   209.5   258.5   293.7   327.7   389.0   760.7  1393.7  2026.9  3175.6 12121.2  94950.2    95000  1684933148553  1684933153829
read      436.4  1070.5    68.9   122.6   139.7   231.8   287.7   327.9   362.9   412.3   584.5  1570.1  3827.1 12020.0 35201.2  99972.0   100000  1684933155333  1684933160612
read      484.6  1351.3    68.9   127.5   145.1   238.1   300.5   338.6   367.2   403.2   470.2  1676.9  5488.0 14923.2 36945.3 105128.2   105000  1684933162116  1684933167404
read      636.3  2194.6    68.9   149.9   169.9   263.7   332.2   369.9   395.3   423.1   457.8   545.9 11403.0 31451.1 41145.9 106933.8   110000  1684933168908  1684933174198
read      651.5  2401.3    74.4   154.4   171.9   260.7   330.5   363.7   385.2   407.5   434.5   489.2 12520.9 31817.3 44361.7 110533.6   115000  1684933175701  1684933180984
read      711.1  2534.3    74.4   177.6   193.6   276.5   375.9   411.1   431.1   453.1   478.7   532.9 12708.5 31913.3 41195.2 103402.2   120000  1684933182488  1684933187772
read      674.4  2476.0    63.8   165.5   182.8   271.5   344.8   379.4   401.5   425.2   453.2   502.0 12669.0 31715.5 41258.0 109274.6   125000  1684933189276  1684933194562
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 72.82%,7.54%,100.00%
