#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      272.5   238.8    86.8   161.9   181.0   257.2   285.9   302.0   314.5   329.8   349.5   384.3   487.3  3785.1  9326.5   4949.8     5000  1684932852332  1684932857698
read      299.7   279.9    80.4   141.1   165.4   281.0   331.8   360.6   380.8   403.1   430.2   468.5   562.9  3426.7 11054.5  10045.6    10000  1684932859202  1684932864526
read      317.6   243.0    74.4   127.0   147.7   296.4   368.4   409.3   435.3   463.6   498.7   547.8   655.4  1056.5 13416.2  15031.4    15000  1684932866030  1684932871330
read      320.5   279.4    74.4   120.4   138.2   291.5   371.9   420.2   451.3   484.1   523.2   580.6   717.2  1622.2 11434.1  19926.0    20000  1684932872834  1684932878119
read      346.1   257.5    68.9   121.2   138.6   292.8   404.1   471.7   517.5   564.1   617.3   695.2   896.6  1737.8  8501.9  24885.8    25000  1684932879623  1684932884945
read      355.2   266.1    74.4   119.9   136.9   275.2   400.7   488.5   550.5   612.2   682.0   789.9   992.5  1351.9  8664.3  29935.2    30000  1684932886448  1684932891742
read      372.3   318.3    74.4   121.2   138.3   262.3   384.7   495.1   593.5   681.5   781.1   918.1  1126.3  2422.4  7953.0  34941.4    35000  1684932893245  1684932898530
read      376.1   336.6    68.9   120.6   137.5   260.1   369.7   471.4   584.6   700.0   829.8   979.7  1205.9  1544.6  9245.6  40115.3    40000  1684932900035  1684932905322
read      370.4   335.1    74.4   118.9   134.7   244.8   335.3   432.8   557.2   710.8   871.5  1034.9  1267.7  1687.6  8096.6  44989.2    45000  1684932906825  1684932912114
read      372.5   364.7    74.4   118.5   134.4   243.2   320.2   406.7   522.6   714.9   908.8  1087.7  1352.2  1928.4 10704.8  49881.2    50000  1684932913619  1684932918890
read      367.8   360.6    68.9   117.6   132.7   234.8   307.6   387.1   480.1   702.4   938.3  1131.3  1392.4  1847.5  8210.0  54912.0    55000  1684932920393  1684932925667
read      361.5   367.8    74.4   117.2   131.9   229.5   292.8   359.9   439.3   648.3   933.6  1159.8  1470.8  1876.2  9410.7  60119.6    60000  1684932927170  1684932932456
read      358.3   378.6    68.9   115.2   129.8   226.1   289.1   347.6   413.7   583.1   929.4  1204.6  1587.6  2059.3  9340.5  65045.4    65000  1684932933959  1684932939237
read      347.5   395.0    68.9   113.3   127.4   217.4   273.4   324.8   385.6   526.5   895.5  1211.5  1592.6  2146.4  9951.0  69976.1    70000  1684932940741  1684932946032
read      333.6   387.2    68.9   112.2   125.1   207.5   257.4   302.7   359.8   478.6   838.9  1188.9  1602.7  2141.8 11417.4  74891.8    75000  1684932947535  1684932952810
read      346.5   429.3    63.8   113.6   127.6   213.5   264.7   304.6   348.3   436.3   843.7  1324.8  1805.3  2342.6 12373.8  80059.0    80000  1684932954313  1684932959595
read      345.0   426.5    68.9   113.2   127.0   211.7   263.2   303.4   346.5   430.5   818.9  1328.5  1852.8  2554.5 12069.1  85009.2    85000  1684932961099  1684932966388
read      333.6   449.6    68.9   111.4   123.7   202.0   250.6   288.0   326.2   396.9   741.0  1300.8  1895.0  2903.5 13597.0  90044.4    90000  1684932967892  1684932973171
read      354.7   486.7    68.9   117.5   131.8   215.7   263.4   296.0   327.6   383.3   738.9  1449.9  2115.0  3433.4 15175.9  95055.0    95000  1684932974675  1684932979958
read      370.1   594.4    68.9   119.6   134.7   219.6   267.4   300.1   330.7   380.3   679.6  1508.3  2448.2  4597.4 17365.6 100218.0   100000  1684932981462  1684932986752
read      443.1  1073.8    68.9   125.5   142.6   235.1   290.0   326.0   356.2   398.6   488.8  1729.3  4124.2 10378.8 35428.4 104901.4   105000  1684932988256  1684932993529
read      626.0  2174.3    68.9   147.6   165.9   258.7   323.1   357.0   379.9   405.0   438.8   529.9 11340.7 31349.3 40730.6 108560.4   110000  1684932995033  1684933000309
read      643.0  2391.0    74.4   152.2   168.8   258.9   324.6   355.9   376.3   398.6   426.1   473.2 12537.0 31474.1 44657.4 111614.2   115000  1684933001813  1684933007114
read      703.1  2536.0    80.4   172.3   189.0   285.5   362.8   396.0   417.4   440.1   468.5   526.4 12707.8 31801.1 42035.8 105057.9   120000  1684933008617  1684933013891
read      656.1  2471.3    68.9   159.4   175.0   271.7   335.5   363.6   381.8   400.9   426.1   469.6 12657.3 31733.4 43687.0 112911.0   125000  1684933015397  1684933020677
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 70.48%,1.53%,100.00%
