#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      351.5   390.0    93.8   189.6   222.2   325.8   363.2   383.9   398.6   418.7   446.0   493.5   624.0  6475.1 13846.9   4989.2     5000  1684947322136  1684947327497
read      357.6   258.5    86.8   164.0   190.0   350.5   400.1   426.3   444.9   466.7   498.2   546.6   685.1  3621.9 10239.2  10036.4    10000  1684947329002  1684947334343
read      364.2   266.1    86.8   159.0   182.5   354.8   419.7   451.4   472.3   499.4   535.0   588.6   720.0  2554.1 10699.6  14911.0    15000  1684947335846  1684947341134
read      364.0   216.1    80.4   151.8   175.0   346.8   422.1   459.3   485.6   516.1   556.1   623.7   798.6  2336.8  8772.8  20107.6    20000  1684947342637  1684947347921
read      371.0   269.4    80.4   148.7   172.4   349.1   427.4   467.1   495.3   528.1   571.8   641.4   870.7  1874.7  9780.5  24977.2    25000  1684947349424  1684947354716
read      379.7   255.2    80.4   147.7   170.3   356.9   440.6   483.2   512.4   548.3   594.2   672.1   916.3  2433.9 10672.3  29821.0    30000  1684947356219  1684947361502
read      387.1   273.4    80.4   147.5   169.9   360.2   447.1   492.5   525.3   564.5   616.5   698.1   971.4  2367.9 10657.4  35098.2    35000  1684947363006  1684947368288
read      389.1   255.8    80.4   147.1   170.2   366.6   452.0   496.4   528.2   566.1   617.6   700.4   938.2  2204.2  8478.7  39914.2    40000  1684947369792  1684947375085
read      386.2   262.9    80.4   146.4   168.0   358.9   447.5   494.7   529.1   569.8   622.4   710.1   963.1  1702.1 10923.7  44917.6    45000  1684947376588  1684947381870
read      371.1   226.7    80.4   142.6   163.2   343.6   431.1   477.8   510.9   549.6   600.7   684.8   926.7  1805.4  5977.3  50142.6    50000  1684947383374  1684947388674
read      372.9   260.8    80.4   140.6   161.2   340.5   430.5   479.0   513.7   554.9   611.9   698.9   964.2  1627.8  9977.6  54879.0    55000  1684947390176  1684947395451
read      361.2   221.9    80.4   140.4   159.6   328.5   416.7   465.7   500.3   540.9   592.8   680.5   928.8  1728.9  8238.7  60166.2    60000  1684947396955  1684947402232
read      349.1   218.0    74.4   137.9   156.6   316.1   402.4   450.3   483.5   522.9   574.9   657.1   910.0  1831.0  5843.5  64902.1    65000  1684947403735  1684947409008
read      345.2   247.9    74.4   135.9   154.4   308.8   394.2   441.8   476.4   516.9   569.9   654.6   905.9  1846.5  9025.9  69979.2    70000  1684947410511  1684947415800
read      332.0   232.3    74.4   135.1   152.3   294.5   375.3   423.7   459.0   500.2   552.1   635.3   860.1  1620.1  7657.1  74793.0    75000  1684947417304  1684947422593
read      345.7   235.2    74.4   137.2   156.2   306.9   389.5   438.1   473.6   516.3   572.6   661.7   904.5  2579.0  6924.6  79861.8    80000  1684947424096  1684947429386
read      334.8   218.0    74.4   136.2   154.5   299.3   378.6   425.3   460.0   501.8   555.9   640.6   855.7  1559.9  5310.5  84924.0    85000  1684947430892  1684947436168
read      334.0   222.9    74.4   137.0   155.6   298.4   373.7   420.6   455.8   498.1   551.5   637.3   848.3  1582.2  8628.7  89923.7    90000  1684947437672  1684947442949
read      331.5   196.3    68.9   135.1   154.0   297.8   371.6   417.1   451.9   494.3   549.0   639.0   849.6  1406.2  5756.4  95184.0    95000  1684947444451  1684947449725
read      329.1   213.4    74.4   137.3   156.1   295.0   367.0   410.5   443.7   484.6   538.8   626.1   842.8  1704.2  6651.4  99899.6   100000  1684947451228  1684947456506
read      330.6   225.8    74.4   138.5   158.2   298.8   368.9   411.4   444.3   484.8   537.6   622.0   808.4  1339.0  9403.6 104813.0   105000  1684947458010  1684947463290
read      320.4   197.5    74.4   137.2   155.9   288.8   356.3   398.0   430.6   469.7   522.4   602.2   787.0  1302.8  6556.5 109785.8   110000  1684947464793  1684947470066
read      316.4   211.6    74.4   137.9   156.2   284.9   349.6   390.2   422.0   461.1   512.7   594.5   777.2  1154.8  9283.4 114988.2   115000  1684947471570  1684947476848
read      330.8   215.3    74.4   141.6   162.6   299.3   365.9   407.7   440.3   480.4   534.4   621.1   803.2  1229.3  8609.0 120125.4   120000  1684947478353  1684947483622
read      371.1   243.1    74.4   151.8   178.7   337.6   409.0   453.2   488.6   536.7   606.5   710.7   886.4  1220.8  9349.2 124872.3   125000  1684947485127  1684947490428
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.25%,1.51%,100.00%
