#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      348.5   348.0    86.8   185.3   221.2   329.2   364.4   384.2   398.3   416.6   439.4   480.2   594.2  6484.4 13441.8   4982.0     5000  1684947106008  1684947111376
read      350.0   307.0    86.8   161.6   186.8   344.5   393.2   419.1   436.9   460.3   490.1   536.9   646.8  3274.6 10251.9  10002.9    10000  1684947112879  1684947118194
read      369.5   319.9    86.8   157.1   181.0   359.1   422.1   453.6   474.9   502.5   538.3   594.3   751.0  3651.9 13464.3  14938.4    15000  1684947119706  1684947124995
read      379.8   279.6    86.8   154.3   180.3   362.6   435.0   470.2   496.4   527.4   568.2   635.9   852.6  3967.7 11061.3  20087.4    20000  1684947126498  1684947131791
read      372.2   203.6    80.4   151.4   174.8   354.6   430.1   469.4   498.8   533.5   579.3   648.6   877.5  1323.0  8912.7  24955.8    25000  1684947133295  1684947138594
read      381.1   260.8    80.4   149.1   172.9   362.1   441.0   481.5   510.3   545.2   591.0   668.6   898.5  2274.3  9626.6  29897.0    30000  1684947140097  1684947145374
read      385.2   282.2    80.4   147.7   170.6   362.1   444.5   486.2   515.7   551.3   603.9   686.6   952.5  2814.0 10109.1  35031.0    35000  1684947146877  1684947152155
read      369.0   221.8    80.4   144.0   164.8   345.3   429.3   472.4   503.6   540.2   587.5   667.9   913.7  1410.6  7745.1  39921.2    40000  1684947153659  1684947158944
read      373.1   251.6    80.4   144.0   165.6   349.6   433.6   476.7   506.9   542.8   590.2   671.5   918.8  1650.5 10121.1  45041.6    45000  1684947160447  1684947165725
read      368.9   265.9    80.4   141.7   162.3   341.6   427.2   472.7   506.1   545.0   595.5   681.6   921.9  1562.8  9990.2  50152.4    50000  1684947167228  1684947172507
read      357.8   223.1    80.4   140.2   159.6   329.2   415.9   462.7   495.5   533.5   582.7   660.6   880.5  1612.1  8386.4  54961.8    55000  1684947174010  1684947179282
read      364.2   255.4    74.4   139.0   158.4   327.3   417.4   465.8   501.2   542.6   597.4   689.1   977.6  2415.7  8347.9  60152.2    60000  1684947180786  1684947186069
read      346.9   232.5    74.4   136.4   154.8   312.3   398.5   445.7   478.8   518.6   570.5   652.7   908.7  2039.5  6053.9  65017.4    65000  1684947187572  1684947192849
read      340.6   201.1    74.4   135.8   153.8   305.5   390.8   438.2   472.0   512.5   566.4   649.7   899.8  1528.5  5385.2  69757.4    70000  1684947194351  1684947199632
read      338.0   223.6    74.4   136.0   153.7   299.6   383.4   431.7   467.1   507.8   563.0   646.7   894.7  1816.1  7443.3  74998.6    75000  1684947201135  1684947206426
read      334.4   223.7    74.4   134.8   153.1   297.4   378.7   425.9   460.3   500.7   554.0   639.6   878.1  1683.4  7220.5  79918.9    80000  1684947207928  1684947213196
read      338.4   223.1    74.4   136.4   155.1   301.2   382.0   429.6   464.5   505.9   561.0   647.4   868.1  1815.4  8053.1  84853.6    85000  1684947214700  1684947219980
read      330.5   213.4    74.4   135.7   154.1   295.1   371.8   418.2   452.5   493.9   546.7   631.4   845.4  1363.2  6769.8  90417.0    90000  1684947221482  1684947226765
read      322.2   208.9    74.4   135.9   154.0   286.8   360.0   404.5   438.6   479.3   533.4   615.6   813.2  1347.2  8213.3  94862.0    95000  1684947228268  1684947233548
read      326.6   233.4    74.4   137.5   156.4   292.3   365.3   409.5   442.7   482.5   533.7   615.1   821.0  1734.7  5979.2 100105.6   100000  1684947235053  1684947240336
read      323.2   207.8    74.4   138.0   156.1   287.8   358.1   401.7   436.3   478.3   533.3   618.0   814.5  1581.5  6877.8 105103.6   105000  1684947241839  1684947247123
read      322.8   233.6    74.4   137.9   156.5   287.9   357.8   400.9   433.8   471.9   524.1   605.5   802.2  1377.3  9802.5 110237.2   110000  1684947248628  1684947253907
read      327.4   199.3    74.4   141.6   162.4   296.6   363.8   404.5   437.1   476.6   528.3   608.6   792.5  1216.5  7391.1 114757.9   115000  1684947255411  1684947260687
read      317.0   195.9    74.4   138.4   157.5   285.5   350.5   392.2   424.6   463.9   515.3   593.5   767.1  1139.3  6472.0 119915.8   120000  1684947262191  1684947267463
read      348.3   202.6    68.9   147.4   171.4   316.6   385.2   427.7   461.6   504.8   564.1   656.4   832.2  1164.3  6891.0 125049.8   125000  1684947268967  1684947274241
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 67.71%,1.00%,100.00%
