#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      260.3   376.5    80.4   158.4   176.6   239.0   261.9   273.9   284.1   294.9   311.9   341.3   445.6  6569.1 14882.3   4982.2     5000  1684936206960  1684936212325
read      268.0   197.4    74.4   142.3   165.3   261.8   294.1   311.4   322.9   337.5   355.3   384.1   464.3  2235.6  9525.8   9829.8    10000  1684936213830  1684936219174
read      276.6   264.2    74.4   126.1   146.4   267.4   310.9   333.2   348.1   366.6   389.9   426.0   524.5  2812.2 12808.2  15124.4    15000  1684936220678  1684936225981
read      273.9   176.1    74.4   123.9   142.4   261.6   314.6   341.6   360.1   380.3   403.9   438.7   523.9  1535.9  9138.0  20044.0    20000  1684936227484  1684936232782
read      273.4   196.0    74.4   118.2   134.6   258.4   315.8   346.4   368.2   391.6   419.3   459.3   571.0  1040.8  7989.0  24996.0    25000  1684936234286  1684936239576
read      283.6   206.9    74.4   120.7   137.9   265.4   327.3   361.8   385.6   411.0   440.1   481.9   583.9   995.4  8789.4  30016.4    30000  1684936241080  1684936246361
read      282.6   191.4    74.4   120.5   137.2   263.3   325.8   362.0   386.8   413.7   444.7   488.8   588.2  1100.1  7715.4  35028.4    35000  1684936247864  1684936253166
read      289.1   184.1    74.4   121.4   138.3   269.0   332.0   369.5   395.9   424.8   458.3   506.3   621.1  1353.4  8147.6  39896.6    40000  1684936254669  1684936259954
read      294.3   216.7    74.4   123.1   140.9   274.7   337.7   373.6   399.3   428.7   463.2   514.8   633.9  1161.9 10882.9  44928.4    45000  1684936261457  1684936266743
read      291.5   187.5    74.4   122.6   139.9   271.2   334.1   370.8   397.5   427.6   462.8   513.0   637.8  1502.4  6199.5  49841.0    50000  1684936268248  1684936273529
read      289.8   175.9    74.4   123.8   140.8   270.2   331.0   366.1   391.5   420.8   457.2   511.8   639.9  1299.5  6681.0  54896.2    55000  1684936275032  1684936280327
read      280.4   176.4    68.9   120.4   136.8   260.1   319.7   355.1   380.9   410.3   446.6   498.3   622.3  1144.8  6120.5  59962.8    60000  1684936281829  1684936287126
read      288.6   174.6    68.9   119.8   136.6   266.5   329.9   366.8   393.5   424.4   461.5   517.8   658.7  1665.9  5764.5  64887.4    65000  1684936288629  1684936293926
read      281.5   169.2    68.9   120.0   136.2   262.1   322.3   357.7   383.3   412.9   449.4   500.5   610.2  1370.0  5544.0  69874.4    70000  1684936295429  1684936300719
read      281.8   180.4    68.9   118.3   134.6   260.7   322.1   357.2   382.4   411.7   448.9   503.1   628.5  1790.6  6107.0  74879.8    75000  1684936302221  1684936307505
read      285.0   192.6    63.8   116.6   132.8   261.1   325.6   362.6   389.8   422.0   461.6   524.7   674.8  1400.3  6338.4  80155.5    80000  1684936309008  1684936314291
read      271.8   163.5    63.8   114.9   130.1   249.1   310.2   345.6   372.3   402.5   440.3   495.2   617.5  1310.7  5362.4  85019.0    85000  1684936315794  1684936321078
read      270.5   185.9    68.9   114.0   129.2   247.1   307.4   342.2   368.3   398.0   435.4   491.2   615.5  1753.2  7620.4  89766.2    90000  1684936322581  1684936327859
read      265.3   162.4    63.8   113.4   128.3   242.2   301.9   336.6   363.1   394.0   431.9   488.2   602.2   893.8  5336.5  94966.4    95000  1684936329366  1684936334643
read      263.4   179.4    68.9   113.2   128.0   239.1   298.7   333.0   358.9   389.7   427.9   484.8   607.9   998.3  4644.2  99755.2   100000  1684936336147  1684936341424
read      274.6   163.0    63.8   115.4   131.7   249.8   310.1   345.2   372.1   404.1   447.1   512.2   652.9  1151.3  4311.3 105170.8   105000  1684936342928  1684936348208
read      265.9   170.7    68.9   114.4   129.8   240.4   299.0   334.4   361.4   393.5   433.8   495.3   615.5   886.6  5843.8 109756.8   110000  1684936349711  1684936355006
read      270.6   173.0    63.8   115.6   131.7   244.4   303.4   339.0   366.2   399.0   440.4   502.3   627.8  1054.9  5825.2 114970.8   115000  1684936356509  1684936361780
read      262.4   191.9    63.8   113.8   128.7   234.4   292.7   328.4   355.8   388.6   430.1   490.1   621.8   995.0  7537.1 119982.6   120000  1684936363284  1684936368571
read      261.8   171.2    68.9   117.1   132.4   235.9   292.4   326.9   353.5   385.5   425.4   483.1   594.2   811.7  6867.5 124855.3   125000  1684936370074  1684936375359
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 73.76%,8.12%,100.00%
