#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      288.0   361.4    86.8   166.3   187.2   270.9   301.9   318.7   331.9   345.9   366.3   398.3   488.0  3980.3 16944.8   4963.4     5000  1684932258122  1684932263477
read      312.7   288.0    80.4   145.8   167.8   300.6   355.0   381.8   399.0   419.1   442.5   477.0   556.8  3435.0 15124.3   9901.6    10000  1684932264981  1684932270312
read      328.7   265.0    74.4   138.7   161.1   309.5   380.6   415.1   438.4   463.4   496.2   542.7   648.8  2652.2  9878.5  14958.6    15000  1684932271815  1684932277116
read      341.9   261.2    80.4   134.4   157.0   316.9   398.5   440.7   468.0   499.4   535.1   585.0   692.6  2673.3 10129.4  19952.4    20000  1684932278620  1684932283953
read      356.9   228.9    80.4   136.0   158.6   333.7   417.2   462.3   494.7   530.2   571.9   629.6   747.4  1280.0  9866.7  25051.8    25000  1684932285456  1684932290744
read      367.1   242.7    80.4   136.1   159.6   342.6   427.8   474.0   508.3   546.5   591.7   659.7   799.5  1111.3  9597.6  30080.8    30000  1684932292248  1684932297552
read      384.7   274.8    74.4   138.9   164.0   355.8   445.7   496.5   533.2   574.9   625.1   695.6   856.8  2384.1 10774.7  34911.8    35000  1684932299056  1684932304363
read      380.5   231.4    80.4   139.1   165.2   354.5   443.3   494.4   531.2   572.5   622.0   689.2   831.3  1183.9  9295.8  39936.6    40000  1684932305867  1684932311165
read      382.2   250.0    74.4   137.3   163.5   353.5   444.1   495.3   531.7   572.9   623.2   691.4   844.4  1598.4  9376.9  44986.0    45000  1684932312669  1684932317948
read      386.5   257.6    74.4   137.7   163.8   358.8   446.4   499.6   538.2   581.9   632.7   703.9   848.3  1273.9  9689.8  49864.6    50000  1684932319451  1684932324738
read      385.2   250.9    74.4   136.6   161.5   352.3   444.3   500.9   541.0   585.6   637.8   711.5   858.9  1452.9  9942.4  54997.6    55000  1684932326241  1684932331512
read      376.0   239.2    74.4   134.2   157.6   344.7   430.8   485.7   526.4   572.1   627.5   706.1   866.1  1176.6  8796.4  59930.2    60000  1684932333016  1684932338300
read      367.3   236.4    74.4   132.8   154.7   333.6   420.1   474.4   516.3   562.7   617.4   694.0   857.3  1257.5  8747.6  64884.2    65000  1684932339803  1684932345090
read      369.4   267.2    74.4   134.2   156.9   337.2   418.6   469.5   510.9   560.7   622.6   707.9   860.3  1166.9 10378.3  69861.8    70000  1684932346594  1684932351870
read      371.1   236.3    74.4   135.6   159.4   339.1   417.0   468.0   511.1   564.5   628.8   715.2   865.7  1451.1  8648.7  75045.0    75000  1684932353373  1684932358648
read      369.9   235.4    74.4   136.7   160.7   337.3   415.8   465.9   507.4   558.8   622.1   712.3   867.0  1181.7  9018.7  79555.0    80000  1684932360152  1684932365432
read      371.8   252.4    74.4   137.8   163.3   341.2   418.2   466.7   506.5   556.4   619.8   705.7   858.0  1241.2  9827.4  84966.5    85000  1684932366935  1684932372224
read      366.3   243.9    68.9   138.3   163.2   332.9   408.7   460.8   503.4   553.9   614.5   696.5   851.2  1185.8  9174.7  89788.8    90000  1684932373727  1684932379006
read      422.2   278.8    74.4   154.1   188.7   383.1   472.1   522.7   558.8   608.2   682.1   819.4  1092.1  1750.1  9574.1  94816.6    95000  1684932380510  1684932385780
read      656.9   350.3    93.8   456.4   482.8   575.1   614.7   639.5   690.8   963.0  1060.0  1143.3  1259.9  3104.8 14216.3  97689.2   100000  1684932387284  1684932392577
read      593.1   294.8    80.4   357.5   403.0   528.9   577.1   617.8   705.2   855.1   957.9  1057.1  1178.9  2032.3 10853.3 103548.8   105000  1684932394081  1684932399374
read      641.2   331.7    74.4   445.9   474.2   562.1   593.6   627.2   674.0   945.2  1041.8  1120.6  1231.5  2923.5 13020.4 101773.0   110000  1684932400878  1684932406157
read      637.3   358.5    74.4   438.4   461.7   554.6   594.1   631.4   708.6   942.8  1023.7  1108.6  1231.7  2524.7 16941.3 102593.9   115000  1684932407660  1684932412936
read      646.9   321.6    74.4   448.6   475.2   563.3   601.1   633.9   702.4   963.4  1047.0  1126.6  1241.6  2672.1 12394.8 101071.0   120000  1684932414439  1684932419714
read      647.4   342.8    80.4   449.5   475.4   562.0   596.7   632.1   713.8   968.1  1048.3  1124.4  1232.4  2874.1 14768.9 101184.2   125000  1684932421217  1684932426500
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 73.24%,8.04%,100.00%
