#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      294.8   435.5    93.8   165.1   186.0   269.8   301.1   317.9   331.1   345.6   366.0   397.5   495.7  7986.2 14532.0   4955.2     5000  1684932433382  1684932438749
read      311.9   203.1    80.4   148.6   170.3   299.8   352.8   380.7   399.1   420.7   446.5   485.7   582.8  2757.7  7530.2  10065.2    10000  1684932440255  1684932445590
read      330.0   226.1    80.4   138.1   161.0   311.3   384.7   421.4   445.2   469.5   500.6   545.8   649.4  2968.1  9763.6  15022.2    15000  1684932447093  1684932452389
read      343.9   243.6    80.4   134.3   157.9   319.9   401.8   444.4   472.2   505.6   542.4   592.3   699.0  2353.1 11512.0  20037.6    20000  1684932453893  1684932459189
read      360.4   307.4    74.4   134.6   158.1   334.2   420.4   466.8   499.6   535.3   577.8   636.4   764.2  1318.1 12645.4  25130.6    25000  1684932460694  1684932465974
read      363.9   266.8    80.4   134.5   157.5   336.6   424.4   472.7   508.4   546.5   591.4   655.4   781.2  1858.0  9687.2  29960.2    30000  1684932467478  1684932472766
read      374.2   250.5    80.4   137.7   162.4   347.0   434.9   485.9   523.0   563.6   612.1   680.1   823.3  1214.4 11421.0  35214.8    35000  1684932474269  1684932479551
read      385.3   238.2    80.4   139.3   165.2   356.6   449.2   501.4   538.0   579.8   630.3   701.4   854.5  1274.6  8136.0  40052.6    40000  1684932481054  1684932486351
read      381.1   234.0    74.4   137.2   162.7   351.4   444.3   497.9   535.1   577.4   628.5   698.7   848.3  1137.2  8419.2  44839.8    45000  1684932487854  1684932493137
read      391.9   260.1    80.4   138.1   164.8   362.7   453.2   506.1   545.0   590.1   642.3   719.8   866.6  1265.5 10821.8  49838.9    50000  1684932494640  1684932499927
read      384.6   248.3    74.4   136.4   162.2   356.0   444.5   496.5   534.8   579.1   632.1   708.2   868.5  1255.1  9244.9  54948.5    55000  1684932501431  1684932506714
read      373.2   234.0    74.4   133.1   156.4   343.1   430.0   483.2   523.4   568.5   621.9   692.9   847.3  1155.2  8380.4  60070.9    60000  1684932508218  1684932513497
read      371.2   211.8    74.4   134.4   157.0   341.2   424.8   476.3   518.6   566.4   624.9   709.1   861.6  1151.8  7887.7  65004.0    65000  1684932515001  1684932520282
read      370.2   258.6    74.4   134.0   156.7   338.0   420.0   469.9   511.2   559.4   621.1   709.1   865.7  1273.7  9438.4  70192.4    70000  1684932521786  1684932527083
read      370.1   245.3    74.4   135.4   158.7   336.6   417.4   467.4   509.0   561.5   625.4   715.7   872.9  1241.6  9706.2  75039.2    75000  1684932528587  1684932533865
read      373.6   239.4    74.4   139.1   163.4   341.7   419.2   469.2   512.0   565.4   629.2   717.0   867.6  1154.6  8424.6  79863.1    80000  1684932535369  1684932540655
read      377.1   229.3    74.4   142.2   167.8   344.7   423.3   474.8   517.2   569.2   631.7   719.2   876.7  1185.9  8602.1  84938.1    85000  1684932542159  1684932547434
read      379.3   242.8    74.4   145.5   172.3   344.6   425.7   477.5   518.6   568.5   628.3   711.6   875.0  1464.5  8651.3  89843.4    90000  1684932548937  1684932554227
read      389.6   243.1    74.4   148.5   178.5   356.1   433.6   483.8   524.6   576.2   639.6   733.8   925.6  1373.4  8691.4  94732.8    95000  1684932555731  1684932561020
read      404.6   235.9    74.4   159.4   193.9   370.2   446.7   494.7   535.8   590.0   660.0   760.7   953.7  1496.3  7841.9  99750.0   100000  1684932562524  1684932567803
read      528.7   308.2    74.4   221.9   281.5   493.5   547.8   583.7   624.4   730.5   876.2  1005.5  1147.2  2234.3 11818.1 103910.4   105000  1684932569306  1684932574587
read      664.3   341.9    80.4   467.2   491.5   580.0   617.8   640.2   691.1   980.7  1079.1  1156.1  1265.4  2851.3 14617.1  98449.5   110000  1684932576091  1684932581376
read      655.4   346.5    74.4   468.0   489.2   569.9   600.1   630.2   679.7   987.6  1068.4  1138.1  1232.5  2886.8 14350.3  99842.6   115000  1684932582879  1684932588164
read      632.8   335.6    68.9   441.8   466.3   547.9   582.9   613.0   687.5   955.0  1034.5  1093.5  1181.8  2488.9 13829.0 103394.8   120000  1684932589667  1684932594971
read      645.1   326.2    86.8   451.9   478.4   562.0   592.0   625.9   681.0   966.8  1052.3  1123.0  1212.5  2967.2 12568.1 101445.8   125000  1684932596474  1684932601755
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 71.61%,4.52%,100.00%
