#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      288.2   314.4    86.8   166.0   188.0   271.7   300.7   317.0   329.6   343.9   364.7   396.1   487.0  5623.2 15532.4   4897.4     5000  1684932607902  1684932613269
read      321.9   344.0    86.8   148.0   170.8   304.4   358.6   386.7   404.9   426.4   452.4   491.6   589.1  3834.2 12908.7  10029.8    10000  1684932614775  1684932620094
read      336.6   355.2    86.8   139.1   161.5   315.1   389.1   426.0   449.1   472.7   504.3   548.7   656.4  3666.8 15397.8  14895.6    15000  1684932621598  1684932626901
read      346.5   211.9    80.4   136.6   160.5   323.9   406.3   448.9   477.3   509.2   546.7   600.0   706.7  1622.6  7751.5  19858.2    20000  1684932628405  1684932633698
read      358.6   248.9    80.4   134.9   158.6   333.6   418.4   465.2   497.6   533.1   574.6   631.1   745.7  1628.4 10107.9  25146.3    25000  1684932635202  1684932640488
read      369.8   212.0    74.4   137.6   161.2   343.4   432.0   482.3   517.8   556.2   602.3   665.3   795.7  1260.5  7537.4  29977.0    30000  1684932641992  1684932647300
read      368.8   222.2    80.4   137.3   161.1   342.7   433.5   483.0   518.1   557.1   603.3   664.8   794.8  1051.8  8944.1  35125.0    35000  1684932648803  1684932654083
read      383.3   242.7    74.4   138.8   165.2   354.5   445.4   497.9   536.1   578.8   628.6   694.8   839.2  1467.7  8726.8  39755.2    40000  1684932655588  1684932660870
read      383.5   260.4    80.4   138.6   164.8   355.6   444.7   496.4   534.1   577.4   627.7   695.6   839.1  1194.5  9994.0  44820.2    45000  1684932662374  1684932667648
read      386.0   267.9    74.4   136.9   163.0   355.7   445.1   499.1   538.0   581.1   632.0   704.9   854.4  1865.2 12071.6  50237.2    50000  1684932669152  1684932674432
read      388.0   253.3    80.4   137.5   163.1   357.6   445.0   499.6   539.8   586.6   643.1   725.9   878.7  1165.4  9043.7  54955.2    55000  1684932675935  1684932681218
read      365.9   236.7    74.4   131.8   154.4   335.0   419.9   470.3   509.2   553.6   608.8   686.6   856.8  1257.3  9253.3  60148.8    60000  1684932682721  1684932687996
read      366.9   252.8    74.4   133.2   154.9   334.5   418.8   470.0   509.4   555.3   611.7   690.6   862.4  1546.0  9830.3  64904.4    65000  1684932689500  1684932694784
read      367.4   255.3    68.9   133.3   155.7   333.3   417.2   469.2   510.4   558.9   620.1   705.7   870.5  1181.4  9871.8  70015.5    70000  1684932696287  1684932701565
read      371.4   237.6    74.4   136.5   160.1   337.1   418.0   469.4   512.1   564.3   628.6   718.6   873.1  1255.0  8835.4  74844.2    75000  1684932703068  1684932708351
read      368.4   231.7    74.4   136.7   160.8   336.0   411.6   462.2   505.4   559.7   624.2   709.1   858.5  1121.5  8993.5  79954.2    80000  1684932709854  1684932715135
read      372.9   273.3    74.4   138.5   163.4   340.4   418.0   468.3   509.8   562.4   626.4   712.5   868.1  1173.8 12050.4  85038.8    85000  1684932716639  1684932721922
read      364.6   232.0    74.4   138.6   163.2   331.3   406.1   459.2   501.8   552.7   615.1   692.9   842.3  1095.1  8630.5  89854.2    90000  1684932723426  1684932728702
read      376.3   217.3    80.4   145.4   173.4   342.9   421.1   471.1   513.3   562.5   621.7   707.2   872.2  1195.0  8011.4  95206.6    95000  1684932730205  1684932735481
read      449.1   312.4    80.4   168.2   208.7   420.8   500.8   539.2   571.3   620.8   711.6   875.1  1078.4  1688.2 12186.4  99821.4   100000  1684932736984  1684932742266
read      620.9   338.8    80.4   395.6   441.8   546.5   586.7   624.2   697.2   917.8  1014.0  1095.0  1229.2  2069.2 13493.1 101530.2   105000  1684932743769  1684932749055
read      649.4   329.6    68.9   453.6   479.6   566.5   601.3   633.0   690.5   964.8  1053.0  1129.8  1244.6  2423.1 14596.1 100403.4   110000  1684932750558  1684932755834
read      641.5   323.5    80.4   447.3   474.4   559.4   592.2   627.7   687.5   956.7  1041.4  1111.9  1216.3  2546.4 13622.3 101915.8   115000  1684932757337  1684932762619
read      638.0   323.8    93.8   441.6   469.0   558.8   592.3   627.1   682.4   936.1  1033.3  1115.3  1233.7  2401.7 13697.6 102434.2   120000  1684932764122  1684932769413
read      650.9   330.3    93.8   452.6   479.6   571.5   608.2   635.2   683.5   950.8  1054.2  1139.0  1252.2  2454.7 12863.3 100522.8   125000  1684932770916  1684932776195
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.44%,2.01%,100.00%
