Timestamp start: 1684486395589
Timestamp end: 1684487236005

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      369.5   901.0   101.3   154.4   174.1   268.8   312.5   337.0   355.2   377.7   407.4   471.0  3065.2 12478.6 31854.9   6222.6     6174
read      304.9   363.9    86.8   131.1   145.3   259.0   319.3   356.9   385.6   421.5   467.6   543.8  1221.6  4113.7  8781.6  70721.0    70900
read      390.9   753.6    86.8   128.8   142.0   284.3   385.7   454.6   511.0   571.5   635.2   723.9  2333.6  8126.0 31602.4  24243.6    24333
read      419.3   909.5    86.8   130.3   144.2   289.9   401.6   484.8   549.4   608.1   675.2   777.7  2936.0 12543.2 32011.0  26391.4    26308
read      296.5   317.5    80.4   131.8   146.0   254.9   313.2   348.4   376.9   413.4   460.9   530.8  1055.5  3204.5  9833.2  61948.8    61845
read      307.2   439.0    80.4   127.6   140.4   240.7   317.2   365.2   399.1   437.6   488.7   651.7   997.6  4193.6 15017.4  36304.2    36338
read      289.3   342.9    80.4   129.6   143.2   246.5   303.7   337.1   362.3   392.8   433.4   496.8   945.1  4096.6  9418.5  94665.2    94684
read      277.6   242.2    80.4   129.1   142.1   246.3   299.9   331.4   356.0   386.7   427.5   486.7   678.9  2845.2  6275.6  79258.2    79354
read      279.4   242.1    80.4   129.0   142.2   246.3   302.8   335.1   359.7   389.6   428.7   488.1   680.6  2850.8  7232.2  90714.2    90892
read      276.9   290.9    80.4   128.7   141.8   244.1   299.9   331.8   356.1   386.0   424.4   481.3   632.6  2720.6  9857.1  93103.0    92979
read      385.6   639.0    86.8   127.7   140.7   277.4   384.4   461.2   528.8   595.3   665.5   757.0  2237.8  7637.0 29707.9  27095.0    27039
read      281.1   295.2    74.4   128.0   141.0   243.4   298.6   330.8   355.5   386.0   426.5   488.7  1073.3  2961.0 11375.6  88348.2    88390
read      283.0   273.9    86.8   127.8   140.7   241.3   304.1   345.0   376.3   410.5   450.3   502.1   758.7  3019.9  8776.9  42082.0    42150
read      420.4  1117.0    86.8   128.8   142.6   292.5   372.5   428.8   465.7   502.9   550.5   629.0  3916.1 11576.1 37230.0  16556.4    16624
read      296.1   527.1    80.4   127.5   140.4   242.3   298.6   336.0   365.9   402.4   446.6   506.3  1057.6  6431.3 27572.1  49511.2    49444
read      283.0   219.7    80.4   129.8   143.3   250.1   306.6   341.5   369.9   404.0   448.3   505.3   706.5  2776.3  6278.3  57349.4    57180
