#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      444.5   579.8   160.7   206.1   221.1   381.4   473.7   525.8   563.4   608.2   666.6   745.4  1003.5  7508.2 26851.3  30002.6    30000
read      446.1   545.0   160.7   207.1   222.6   386.8   474.8   527.1   565.7   612.4   674.3   761.1   967.6  6252.9 28722.2  34985.0    35000
read      443.3   513.2   160.7   209.6   225.3   374.8   466.4   519.0   557.6   607.4   677.2   773.3  1013.7  8085.3 20489.6  40057.0    40000
read      455.7   467.6   160.7   211.8   229.6   403.9   488.5   536.1   572.7   619.2   687.0   793.4   999.3  5781.6 15128.7  45048.8    45000
read      446.7   568.5   160.7   207.3   223.3   382.8   466.0   512.8   548.4   593.4   661.9   774.3  1077.6  6821.8 28885.6  49920.2    50000
read      435.5   475.5   160.7   208.0   224.6   384.2   466.3   512.6   548.0   592.4   660.2   773.4   977.5  6723.5 16025.0  54814.0    55000
read      417.7   358.0   160.7   207.3   223.0   369.4   447.1   493.4   528.3   572.6   636.0   749.0   992.9  4944.3 12439.0  59966.8    60000
read      430.1   375.4   160.7   206.9   224.3   385.3   466.0   511.3   544.8   586.0   642.0   744.9  1003.9  5112.7 12116.7  65034.4    65000
read      416.3   390.5   160.7   207.7   224.5   372.1   448.0   492.1   524.6   564.7   620.9   722.8   928.1  5692.8 15583.7  69975.2    70000
read      423.7   306.2   160.7   210.0   228.3   386.3   463.7   506.9   539.8   580.2   633.7   731.2   937.8  4401.5  8741.6  75003.0    75000
read      493.1   480.9   160.7   215.7   237.0   419.6   507.5   565.7   619.3   690.4   767.5   920.8  1504.7  5961.0 17410.1  79988.6    80000
read      461.4   443.8   160.7   219.8   242.7   411.7   487.5   531.6   566.3   614.3   690.1   822.1  1089.5  5829.3 16355.8  84947.4    85000
read      442.5   392.3   160.7   218.8   241.5   400.0   470.9   513.4   546.4   589.7   649.3   746.3   999.1  5135.2 12672.4  89632.4    90000
read      500.6   393.6   160.7   233.7   266.3   444.5   525.0   583.1   634.3   698.8   777.0   888.4  1094.9  5589.8 12462.4  94738.3    95000
read      675.6   428.8   160.7   396.7   425.0   562.4   795.1   869.0   907.2   945.0   989.7  1051.6  1194.8  6039.4 15864.5  95366.0   100000
read      635.0   413.5   160.7   338.5   382.2   545.9   688.5   786.2   852.4   917.5   980.9  1053.7  1179.6  4960.8 16138.2  98629.8   105000
read      633.2   365.9   160.7   361.9   388.9   557.6   751.9   801.0   834.6   869.2   916.1   983.1  1117.6  4335.0 12984.1 101754.0   110000
