#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      447.8   500.7   160.7   209.9   226.7   391.8   477.4   527.7   564.5   608.0   663.9   744.5   983.2  7409.7 11969.3  29936.0    30000
read      434.4   494.7   160.7   208.7   224.6   380.1   468.3   518.7   554.7   599.8   663.8   753.7   911.3  7175.0 16687.2  34718.6    35000
read      430.9   443.0   160.7   207.2   222.6   372.5   457.3   508.3   546.6   595.0   663.6   757.2   941.2  6477.1 13892.9  40108.8    40000
read      435.7   393.4   148.8   208.8   225.6   389.4   473.2   521.2   557.0   604.7   676.7   785.9   960.3  4608.4 11888.2  45120.8    45000
read      430.2   426.1   160.7   207.4   223.4   376.8   458.1   506.2   543.2   589.8   659.1   764.9   966.5  5340.5 12936.7  49797.8    50000
read      428.8   318.9   160.7   207.9   224.5   387.8   469.6   515.7   549.5   591.9   655.0   770.2   942.9  4480.6 12038.2  55188.6    55000
read      438.6   418.9   160.7   208.1   225.6   392.6   476.3   521.9   554.9   595.6   657.2   764.7  1005.8  5864.2 13957.4  59880.8    60000
read      434.9   439.8   160.7   208.6   225.8   384.1   466.0   512.8   547.4   590.1   650.4   758.7  1001.2  5306.6 12796.1  65001.2    65000
read      444.5   439.7   160.7   208.8   226.3   387.8   469.8   516.4   551.2   598.5   671.5   790.9  1221.9  6017.6 13416.8  70121.4    70000
read      459.6   520.6   160.7   212.8   232.7   401.1   480.7   526.2   561.1   608.6   680.5   806.9  1112.1  8056.5 16213.2  74851.8    75000
read      433.4   375.5   160.7   213.7   233.2   393.1   465.9   506.9   538.9   579.5   637.6   749.4   986.1  4732.4 13466.9  79866.5    80000
read      437.2   313.1   160.7   218.9   240.9   402.9   473.9   514.7   545.9   586.9   643.8   743.8   969.7  4180.4 10611.8  85126.6    85000
read      514.6   421.6   148.8   239.4   274.7   464.6   541.3   598.4   651.1   720.0   808.9   921.3  1089.6  4509.2 13423.4  90140.6    90000
read      552.3   376.7   160.7   249.4   291.1   494.4   577.0   644.6   710.9   792.5   901.0  1009.9  1174.8  4742.2 14882.0  94951.9    95000
read      499.5   347.0   160.7   245.0   279.3   449.5   534.4   591.0   635.6   689.3   754.5   860.8  1073.8  5547.2 11010.9  99974.8   100000
read      637.3   353.1   173.5   363.4   393.6   560.7   724.2   793.5   838.1   887.4   950.0  1032.6  1162.6  4439.1 10738.3 100167.0   105000
read      663.2   485.4   160.7   384.4   412.0   551.3   770.8   840.5   878.6   918.4   967.0  1039.6  1202.3  7299.8 16700.2  98089.9   110000
