#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      452.1   492.2   160.7   210.9   228.0   401.5   486.6   534.3   569.5   611.1   664.9   743.8   943.2  5976.2 15088.3  29922.8    30000
read      445.0   436.6   160.7   210.6   227.2   393.8   481.0   530.1   566.4   609.4   665.6   752.0   974.7  5626.8 13859.4  34868.2    35000
read      442.9   493.1   160.7   210.6   227.4   393.1   477.7   525.8   561.2   606.6   669.4   763.8   938.2  6206.1 20511.4  39981.0    40000
read      449.6   468.9   160.7   210.0   227.3   403.3   485.6   530.8   565.3   609.7   672.3   773.7   999.3  6429.6 17792.5  45058.2    45000
read      440.3   565.6   160.7   211.2   228.3   391.7   477.4   524.1   558.6   602.3   666.8   775.2   989.7  6080.3 14229.5  49989.6    50000
read      428.9   309.1   160.7   209.4   225.7   386.1   468.9   514.5   548.6   591.5   655.6   772.0   955.2  4747.3  8888.8  54918.2    55000
read      418.1   339.0   160.7   206.8   222.7   372.1   451.1   497.5   532.5   575.6   635.1   742.9   934.3  4744.1 11603.5  60013.6    60000
read      424.9   350.4   160.7   209.1   226.3   380.6   460.5   505.0   538.7   580.9   638.6   741.8   948.6  4868.5 12624.5  65045.4    65000
read      425.5   369.9   160.7   210.1   227.4   380.9   457.8   502.4   536.1   577.4   634.2   742.6   946.7  5029.4 10598.2  69791.4    70000
read      447.7   452.7   160.7   214.7   234.4   404.2   481.3   525.0   557.6   599.8   662.2   768.9  1010.3  5251.2 15678.4  74803.0    75000
read      438.2   375.5   160.7   214.8   235.1   399.4   475.4   518.0   548.7   589.3   643.0   746.6  1006.1  4912.5 13188.7  79660.6    80000
read      414.7   309.0   160.7   211.9   230.7   379.9   447.7   488.2   519.1   557.7   613.7   712.7   919.1  3783.9 12991.4  85121.4    85000
read      492.5   359.0   160.7   237.0   269.0   445.9   519.7   568.7   611.5   671.4   754.2   870.6  1072.8  4682.4 12445.3  89901.4    90000
read      492.0   346.0   160.7   230.5   261.0   440.8   514.3   565.1   614.2   688.2   797.3   926.6  1099.5  4644.9 10359.2  94705.2    95000
read      645.8   382.1   173.5   357.6   391.2   578.2   719.0   787.7   835.3   890.5   960.9  1057.6  1210.3  5214.0 12684.7  97247.8   100000
read      687.2   361.4   160.7   402.8   431.0   583.7   815.3   880.7   918.5   959.8  1008.0  1080.3  1237.2  4817.8 12255.4  94567.8   105000
read      684.3   444.8   160.7   408.7   438.4   570.1   792.4   886.8   929.9   973.5  1017.2  1083.7  1210.7  5054.1 17839.0  95439.2   110000
