#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      412.5   226.3   160.7   214.3   233.9   384.1   458.2   503.8   538.0   577.3   623.1   684.5   804.8  1715.0  8734.9  30041.8    30000
read      412.1   204.6   160.7   211.2   229.8   382.5   457.2   502.5   538.6   582.5   633.5   703.9   844.9  1862.8  6853.1  34899.2    35000
read      422.3   219.4   160.7   214.9   235.6   403.2   471.8   510.8   541.9   580.9   629.1   691.9   840.2  1584.2  9549.8  40072.4    40000
read      411.7   223.1   160.7   211.7   230.3   388.1   457.4   497.4   529.3   570.5   626.2   699.8   833.5  1365.5  9197.1  45058.0    45000
read      405.1   238.6   160.7   208.2   225.2   373.3   445.0   487.8   521.1   563.3   623.5   716.4   864.7  1836.6 10254.6  49977.0    50000
read      402.0   227.1   160.7   204.8   221.4   375.6   448.8   489.9   521.7   562.8   619.0   699.4   849.4  1385.5  9281.6  55012.6    55000
read      403.5   230.9   160.7   206.1   222.7   376.3   450.7   491.9   522.4   560.4   615.6   700.7   859.1  1326.0  8932.8  59974.0    60000
read      395.2   216.2   160.7   204.5   220.6   367.4   441.2   481.4   510.5   547.4   600.0   685.1   847.3  1446.8  7410.5  64900.8    65000
read      386.3   208.2   160.7   204.8   220.3   357.8   428.1   467.9   497.3   533.2   582.8   666.8   826.4  1413.0  7989.1  69972.7    70000
read      395.9   229.1   160.7   208.8   225.9   366.6   435.6   475.8   506.1   542.6   591.2   681.7   856.6  1329.0 10361.0  74840.1    75000
read      384.2   199.3   160.7   206.1   223.1   359.3   424.4   462.1   490.6   524.9   571.2   648.1   807.6  1166.8  7664.8  80029.2    80000
read      419.9   241.3   160.7   217.9   238.4   391.5   462.7   501.9   531.8   568.7   620.9   713.1   930.7  1577.3 10020.5  85020.4    85000
read      427.7   231.8   160.7   226.6   250.9   403.7   472.9   511.3   540.5   576.3   623.3   696.9   851.8  1330.5 10345.7  90157.0    90000
read      653.1   325.1   160.7   384.9   421.1   552.7   747.9   851.8   900.0   943.8   990.1  1049.8  1154.9  2395.9 12810.2  93753.2    95000
read      710.6   411.6   173.5   442.7   473.0   587.2   805.9   940.1   985.9  1029.9  1072.5  1130.5  1240.1  3918.2 13459.0  91588.4   100000
read      703.5   353.9   160.7   437.9   466.7   584.1   773.9   932.6   983.2  1029.1  1072.5  1131.2  1240.1  3181.2 13273.4  92775.0   105000
read      665.6   352.9   173.5   387.0   419.0   575.3   751.2   838.1   892.3   949.9  1012.0  1081.9  1187.0  3270.2 14167.4  97652.2   110000
