#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      318.9   303.5   101.3   175.2   197.4   299.1   337.2   358.4   373.5   396.3   426.6   473.6   588.9  4531.8 11744.1   4970.6     5000  1684968118147  1684968123505
read      368.0   235.5    93.8   160.7   183.8   338.0   411.9   458.1   490.5   527.4   575.9   642.0   799.0  2396.7  9860.4  10067.7    10000  1684968125009  1684968130320
read      395.4   289.9    93.8   155.1   177.1   358.1   454.6   508.5   546.1   589.5   640.1   719.7   870.4  4041.6 10490.9  15099.3    15000  1684968131823  1684968137116
read      419.2   268.3    93.8   151.2   171.8   355.7   483.1   562.2   617.6   677.0   749.2   855.8  1081.4  2199.6  6977.2  20006.6    20000  1684968138619  1684968143913
read      434.2   349.5    93.8   149.2   169.1   339.7   482.4   585.2   659.0   738.1   833.1   965.8  1193.8  1884.2 13039.4  25043.4    25000  1684968145417  1684968150715
read      422.6   314.7    86.8   146.8   165.6   321.5   463.6   568.8   648.1   731.8   828.0   970.4  1204.9  1763.2  9404.8  30017.6    30000  1684968152218  1684968157492
read      467.7   383.7    93.8   146.7   166.4   332.2   454.6   551.5   674.0   864.7  1065.4  1262.4  1578.3  2176.8  9233.1  34961.9    35000  1684968158995  1684968164274
read      445.7   409.6    93.8   143.6   161.2   306.2   425.2   529.7   647.9   812.2  1005.8  1220.2  1556.5  2539.4 13065.4  39973.2    40000  1684968165777  1684968171062
read      449.4   412.5    86.8   143.3   161.0   300.2   401.4   496.9   610.3   820.0  1077.9  1326.5  1705.1  2204.0  9577.0  44923.6    45000  1684968172565  1684968177853
read      433.8   454.9    80.4   139.2   155.2   283.7   380.5   469.1   569.3   778.3  1046.9  1305.2  1699.0  2838.8 11953.4  50038.4    50000  1684968179356  1684968184658
read      414.4   389.3    86.8   137.0   152.8   270.8   357.6   442.5   537.9   728.5   993.7  1267.9  1699.4  2332.8  8751.4  54716.2    55000  1684968186161  1684968191442
read      410.1   394.9    80.4   135.8   152.1   272.0   361.4   441.1   516.5   661.9   926.4  1291.0  1750.9  2373.4  9147.0  59797.2    60000  1684968192944  1684968198221
read      413.7   439.2    80.4   136.8   153.3   271.6   351.3   419.1   487.8   627.5   959.2  1355.0  1885.0  2459.7 10994.9  64954.4    65000  1684968199724  1684968205009
read      411.5   420.1    80.4   138.0   154.3   269.1   343.5   409.6   479.0   623.3   946.0  1370.2  1936.6  2658.2  8580.1  69809.2    70000  1684968206512  1684968211792
read      417.8   482.1    86.8   138.9   155.4   269.0   341.3   404.2   469.6   602.4   966.5  1430.1  2017.5  2649.1 12798.0  74955.2    75000  1684968213297  1684968218578
read      404.5   452.2    86.8   137.7   154.0   259.9   328.8   390.2   456.8   585.4   911.5  1354.9  2005.7  3316.5 11947.9  80049.4    80000  1684968220082  1684968225359
read      508.5   599.6    80.4   151.5   173.3   311.3   409.6   498.4   600.8   815.3  1157.7  1767.9  2529.8  3917.0 16237.7  84917.9    85000  1684968226863  1684968232141
read      538.6   741.4    86.8   155.0   177.5   310.6   413.8   503.6   632.7   997.2  1396.9  1717.8  2529.9  8270.2 27394.2  89898.2    90000  1684968233644  1684968238942
read      768.4  1195.7    93.8   205.7   230.8   405.9   564.8  1284.0  1447.9  1568.7  1694.8  1867.8  2751.4 14869.0 36218.4  86121.0    95000  1684968240445  1684968245739
read      771.3  1079.8    93.8   209.0   234.6   421.9   590.6  1306.6  1463.9  1577.3  1698.7  1870.7  2724.7 12881.4 32039.1  86135.8   100000  1684968247242  1684968252522
read      761.5  1053.0    80.4   210.4   233.6   421.7   574.2  1306.2  1459.2  1575.9  1689.9  1852.1  2735.4 13076.6 31840.6  87211.6   105000  1684968254025  1684968259298
read      767.8  1044.6    93.8   210.5   235.0   423.7   593.8  1305.6  1460.2  1574.7  1696.7  1866.7  2716.8 12877.3 31435.6  86341.8   110000  1684968260801  1684968266083
read      787.1  1040.2    93.8   214.1   239.4   432.1   622.3  1339.1  1487.6  1594.5  1716.7  1887.7  2755.4 12764.3 32025.8  84412.4   115000  1684968267587  1684968272868
read      767.6  1062.3   101.3   212.9   235.0   427.7   583.4  1312.0  1461.9  1576.7  1695.9  1864.3  2746.1 13265.1 35616.9  86726.8   120000  1684968274371  1684968279643
read      786.2  1016.8    93.8   220.4   242.7   442.5   614.5  1354.4  1499.4  1605.6  1719.5  1882.9  2744.4 12761.9 31352.1  84109.3   125000  1684968281147  1684968286425
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.31%,3.00%,100.00%
