#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      319.2   364.8   101.3   175.3   198.7   291.8   330.1   351.1   365.8   383.2   405.3   448.4   590.8  6007.1 12462.0   4948.6     5000  1684967736355  1684967741696
read      352.8   291.6    93.8   156.4   180.1   326.6   392.8   427.9   454.7   487.8   529.8   590.8   745.5  3794.0 11503.6  10056.8    10000  1684967743201  1684967748525
read      380.1   293.9    93.8   150.0   169.9   341.7   430.6   488.3   529.0   574.5   630.5   722.2   896.0  1454.8 10117.3  14857.6    15000  1684967750028  1684967755310
read      405.6   305.6    93.8   145.8   165.0   346.5   460.6   536.2   588.4   645.3   721.8   830.9  1048.2  2451.8 11079.3  19958.8    20000  1684967756813  1684967762107
read      436.9   355.2    93.8   147.8   166.9   334.8   467.2   577.2   661.2   753.1   861.6  1008.6  1269.1  2461.4 12428.0  25098.6    25000  1684967763611  1684967768908
read      447.8   377.6    93.8   145.0   163.5   320.6   438.1   555.4   687.3   830.9   975.4  1148.4  1394.6  2355.2 10252.5  30009.8    30000  1684967770411  1684967775709
read      456.1   378.7    93.8   143.9   162.5   316.0   421.6   528.4   667.9   877.8  1071.1  1262.7  1548.5  1989.3  8833.8  35009.6    35000  1684967777212  1684967782497
read      456.9   428.5    86.8   143.7   162.0   309.6   406.2   493.5   605.7   877.3  1109.5  1330.1  1658.9  2320.9  9927.3  40003.0    40000  1684967784000  1684967789281
read      436.2   405.9    86.8   141.2   158.6   292.7   382.9   477.9   608.9   826.4  1042.4  1265.1  1581.2  1993.1 10127.0  44987.0    45000  1684967790784  1684967796069
read      428.4   431.9    86.8   139.7   155.4   277.5   359.1   433.8   533.4   791.0  1084.8  1334.6  1696.3  2268.9 11956.1  50034.0    50000  1684967797571  1684967802885
read      412.8   433.6    80.4   134.6   150.3   266.0   346.1   419.6   508.8   716.0  1023.9  1302.4  1722.8  2280.6 13221.1  55045.0    55000  1684967804389  1684967809665
read      412.3   461.2    80.4   133.8   148.9   263.9   341.8   402.9   463.8   572.9   988.1  1468.4  1944.0  2648.6 10810.0  59851.4    60000  1684967811169  1684967816451
read      413.7   430.0    80.4   137.4   153.8   272.5   354.8   425.1   497.6   638.5   949.7  1328.1  1883.0  2407.5 12730.8  64962.8    65000  1684967817954  1684967823230
read      411.5   423.6    86.8   138.4   154.4   269.7   344.5   406.9   471.8   597.7   940.9  1383.3  1970.3  2568.5  9741.7  70118.2    70000  1684967824733  1684967830021
read      389.3   412.1    80.4   133.2   148.2   250.2   319.3   381.0   445.1   563.6   899.1  1327.0  1884.3  2479.5 11317.6  74894.0    75000  1684967831524  1684967836809
read      409.5   452.4    80.4   136.6   152.7   263.4   333.4   392.7   454.6   579.5   941.2  1422.1  2046.5  2682.3 12089.1  80195.4    80000  1684967838311  1684967843597
read      568.8   808.8    86.8   155.9   181.5   338.4   452.0   550.4   659.2   873.5  1255.3  2006.6  2879.2  6891.0 30956.8  83639.0    85000  1684967845100  1684967850379
read      717.9   994.4    74.4   196.2   220.7   392.7   532.1  1071.7  1401.2  1528.1  1643.8  1801.7  2688.0 12537.5 31516.2  88820.8    90000  1684967851881  1684967857186
read      714.5   959.4    86.8   193.2   219.0   383.9   534.6   995.6  1399.0  1535.0  1658.8  1808.2  2808.0 12195.2 31276.4  89188.0    95000  1684967858689  1684967863977
read      712.6  1008.3    80.4   193.6   218.0   381.8   519.6  1171.0  1406.7  1534.0  1644.8  1819.9  2640.1 12373.5 34402.3  91789.4   100000  1684967865482  1684967870755
read      759.9  1054.3    86.8   210.9   233.6   419.8   575.7  1307.4  1459.7  1573.8  1692.2  1857.1  2736.0 13293.3 31466.8  86915.4   105000  1684967872258  1684967877542
read      749.6  1012.4    80.4   204.9   227.7   413.2   561.0  1295.4  1449.1  1570.5  1686.4  1845.1  2694.0 12885.8 31459.5  88292.6   110000  1684967879046  1684967884321
read      767.2  1057.9   101.3   212.5   235.4   427.2   580.7  1315.0  1464.7  1580.5  1695.0  1850.9  2733.5 12770.6 31692.8  86652.1   115000  1684967885824  1684967891097
read      777.7  1073.1    93.8   213.0   236.3   434.0   588.4  1332.5  1486.9  1590.3  1710.5  1873.4  2746.4 12826.6 33687.3  85318.0   120000  1684967892600  1684967897878
read      763.9  1029.1    86.8   211.5   234.8   425.2   576.7  1305.6  1459.4  1577.4  1695.7  1855.7  2754.7 12828.0 31537.3  86798.2   125000  1684967899381  1684967904655
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.62%,1.50%,100.00%
