#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      313.6   322.4   101.3   175.4   196.3   292.2   331.5   352.8   368.9   388.6   413.2   455.4   577.1  4331.8 10876.2   4961.0     5000  1684967925570  1684967930929
read      365.8   357.5    93.8   155.8   177.6   328.6   398.1   438.2   473.6   516.4   565.6   635.1   803.4  5158.8 13981.4   9942.0    10000  1684967932433  1684967937762
read      406.6   330.6    93.8   150.9   171.6   357.4   456.2   526.4   576.8   633.1   700.6   796.2   984.1  2505.1 13585.5  15038.4    15000  1684967939265  1684967944563
read      419.8   330.6    93.8   151.0   171.6   362.8   482.3   555.7   605.3   663.9   737.8   847.6  1063.8  2675.5 17572.4  19996.2    20000  1684967946067  1684967951365
read      432.4   369.8    93.8   147.2   166.6   338.5   474.1   576.8   650.3   729.7   825.0   963.4  1207.5  3788.0 12766.7  24935.4    25000  1684967952869  1684967958165
read      422.2   332.7    93.8   144.2   162.9   328.4   461.8   565.9   643.9   725.5   822.8   961.4  1200.9  1647.1 10536.1  29929.4    30000  1684967959668  1684967964961
read      449.9   370.7    86.8   143.7   162.8   321.9   446.0   550.5   663.9   818.8   991.5  1183.7  1466.9  1881.3  9603.0  35117.4    35000  1684967966464  1684967971761
read      439.4   423.5    86.8   141.9   159.5   301.1   413.7   525.1   649.4   811.2   986.4  1183.2  1502.0  2844.2 11243.8  40074.2    40000  1684967973264  1684967978539
read      434.8   396.5    86.8   141.8   159.1   290.9   387.3   490.4   618.6   816.9  1034.0  1248.5  1559.7  2115.5  9876.9  44952.2    45000  1684967980041  1684967985320
read      429.9   421.9    86.8   139.1   155.3   280.9   371.4   461.3   566.1   781.6  1050.1  1308.5  1668.6  2419.6  9977.7  49799.4    50000  1684967986823  1684967992122
read      415.7   420.4    86.8   136.5   152.3   270.3   361.2   443.8   545.1   739.0   988.9  1260.2  1670.5  2533.8 12821.8  54982.0    55000  1684967993626  1684967998914
read      412.6   435.2    86.8   137.0   152.8   265.0   343.0   412.8   495.5   676.5   989.4  1352.9  1814.3  2491.2 12411.0  59828.8    60000  1684968000417  1684968005701
read      408.6   419.3    86.8   136.3   152.7   267.7   346.2   416.3   491.2   642.2   939.2  1333.9  1832.3  2450.1 10729.0  65035.6    65000  1684968007204  1684968012490
read      410.8   416.6    80.4   138.3   154.9   271.1   349.8   419.9   492.5   629.7   918.7  1330.9  1919.4  2590.0  9932.6  70218.6    70000  1684968013992  1684968019274
read      418.3   457.1    86.8   139.3   156.1   272.1   345.4   407.3   471.5   597.4   944.9  1429.1  2027.8  3091.1  9373.1  75082.0    75000  1684968020777  1684968026057
read      406.2   444.3    86.8   136.9   152.6   258.7   329.5   393.5   462.3   595.4   934.9  1388.5  1988.1  2699.0 10688.1  79756.4    80000  1684968027561  1684968032848
read      566.4   870.5    80.4   155.8   181.1   332.1   447.0   539.4   640.9   872.6  1263.0  1873.9  2769.1 10197.4 31666.9  84774.2    85000  1684968034351  1684968039628
read      590.3   651.5    80.4   159.0   185.0   342.2   476.1   603.0   815.7  1220.0  1543.1  1840.4  2600.1  4944.2 16272.4  87969.7    90000  1684968041131  1684968046415
read      729.4   988.4    86.8   199.6   223.0   398.7   543.1  1234.3  1422.8  1549.6  1667.0  1825.8  2676.0 12536.0 31827.9  89215.0    95000  1684968047919  1684968053194
read      761.9  1041.3    93.8   210.6   233.2   423.5   576.7  1316.2  1465.6  1584.3  1698.2  1849.8  2732.3 12799.1 31611.3  86779.4   100000  1684968054699  1684968059973
read      769.7  1073.5    80.4   214.5   236.6   429.4   585.9  1325.4  1473.4  1583.7  1698.8  1859.6  2722.0 12872.8 33915.5  86236.2   105000  1684968061476  1684968066752
read      764.0  1032.6    86.8   213.5   235.4   430.1   577.3  1323.6  1469.7  1584.8  1696.9  1850.9  2748.6 12796.7 31765.2  86657.0   110000  1684968068255  1684968073546
read      817.5  1118.8    80.4   231.2   255.0   462.0   659.6  1396.0  1518.8  1636.5  1747.0  1912.9  2797.4 14284.3 32695.4  81473.8   115000  1684968075055  1684968080334
read      739.7  1069.0    86.8   202.4   225.0   404.1   540.0  1255.9  1429.2  1553.4  1671.3  1831.2  2722.5 13563.2 31779.8  89844.0   120000  1684968081838  1684968087118
read      772.5  1196.7    80.4   210.5   234.4   415.3   570.4  1286.8  1447.6  1568.3  1690.4  1867.8  2786.7 16558.0 33295.4  86443.4   125000  1684968088622  1684968093904
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 71.47%,5.47%,100.00%
